Key,Resolution Date,Backlog,To Do,Open,In Progress,AC Test,Code review,Discovery,Delivery,Done,Cancelled
BWEBDEV-8373,,0d 0h 34m,,,0d 0h 27m,0d 0h 34m,,,,,
BWEBDEV-8369,,0d 0h 6m,,,0d 0h 58m,0d 2h 42m,,,,,
BWEBDEV-8362,,0d 2h 13m,0d 0h 55m,,0d 0h 10m,0d 3h 30m,,,,,
BWEBDEV-8361,,0d 2h 15m,0d 0h 13m,,0d 0h 40m,0d 3h 42m,,,,,
BWEBDEV-8354,,0d 2h 49m,0d 0h 0m,,0d 0h 21m,0d 5h 19m,,,,,
BWEBDEV-8352,,0d 16h 7m,0d 1h 19m,,0d 0h 19m,0d 4h 57m,,,,,
BWEBDEV-8350,,0d 0h 25m,0d 1h 19m,,0d 14h 31m,0d 8h 49m,,,,,
BWEBDEV-8349,,0d 3h 12m,0d 0h 27m,,0d 0h 1m,0d 22h 3m,,,,,
BWEBDEV-8346,,0d 1h 28m,1d 0h 1m,,0d 0h 10m,0d 0h 22m,,,,,
BWEBDEV-8343,,0d 0h 34m,,,0d 0h 1m,0d 1h 0m,,,,1d 0h 49m,
BWEBDEV-8342,,0d 0h 6m,0d 0h 0m,,0d 0h 25m,1d 2h 22m,,,,,
BWEBDEV-8338,,0d 1h 1m,1d 0h 53m,,0d 1h 45m,0d 1h 37m,,,,,
BWEBDEV-8330,,0d 15h 58m,0d 2h 34m,,0d 1h 36m,1d 2h 40m,,,,,
BWEBDEV-8329,,0d 16h 25m,0d 0h 15m,,0d 0h 10m,1d 6h 26m,,,,,
BWEBDEV-8327,,0d 15h 49m,,,1d 3h 58m,0d 0h 46m,,,,0d 3h 37m,
BWEBDEV-8326,,0d 16h 13m,0d 1h 49m,,0d 0h 34m,1d 1h 7m,,,,0d 5h 25m,
BWEBDEV-8325,,0d 17h 37m,0d 2h 25m,,0d 0h 19m,0d 4h 20m,,,,1d 1h 51m,
BWEBDEV-8323,,0d 18h 34m,0d 0h 0m,,0d 1h 10m,1d 7h 13m,,,,,
BWEBDEV-8322,,0d 19h 22m,0d 0h 28m,,0d 23h 52m,0d 8h 37m,,,,,
BWEBDEV-8320,,0d 21h 46m,0d 0h 4m,,1d 4h 0m,0d 2h 46m,,,,,
BWEBDEV-8312,,0d 3h 13m,0d 4h 49m,,0d 0h 33m,2d 1h 1m,,,,,
BWEBDEV-8309,,0d 19h 19m,0d 3h 43m,,0d 1h 28m,2d 1h 12m,,,,,
BWEBDEV-8308,,0d 0h 19m,0d 0h 10m,,1d 19h 38m,1d 6h 43m,,,,,
BWEBDEV-8302,,0d 1h 25m,0d 0h 10m,,0d 23h 31m,2d 3h 19m,,,,,
BWEBDEV-8299,,0d 19h 21m,0d 1h 43m,,0d 4h 58m,2d 2h 47m,0d 1h 4m,,,,
BWEBDEV-8298,,0d 0h 16m,2d 3h 25m,,0d 18h 46m,0d 7h 28m,,,,,
BWEBDEV-8297,,0d 2h 37m,0d 0h 10m,,,1d 23h 13m,,,,1d 4h 46m,
BWEBDEV-8296,,0d 1h 28m,0d 0h 0m,,0d 2h 47m,3d 3h 1m,,,,,
BWEBDEV-8295,,0d 0h 31m,0d 0h 1m,,0d 1h 11m,3d 6h 4m,,,,,
BWEBDEV-8294,,0d 0h 1m,0d 3h 53m,,0d 0h 55m,3d 3h 4m,,,,,
BWEBDEV-8291,,1d 23h 27m,0d 1h 40m,,0d 2h 55m,1d 4h 25m,,,,,
BWEBDEV-8290,,0d 0h 34m,0d 3h 25m,,0d 0h 28m,1d 22h 45m,,,,1d 5h 16m,
BWEBDEV-8289,,2d 14h 7m,0d 0h 0m,,0d 0h 19m,0d 2h 52m,,,,3d 6h 10m,
BWEBDEV-8286,,0d 1h 13m,2d 18h 34m,,,1d 21h 15m,,,,1d 9h 7m,
BWEBDEV-8284,,0d 0h 4m,2d 19h 28m,,0d 0h 49m,3d 7h 22m,,,,,
BWEBDEV-8283,,3d 0h 50m,0d 0h 43m,,1d 17h 42m,0d 1h 28m,,,,1d 7h 25m,
BWEBDEV-8278,,0d 0h 6m,,,5d 20h 34m,0d 8h 19m,,,,,
BWEBDEV-8277,,0d 0h 10m,0d 0h 13m,,0d 0h 15m,3d 2h 1m,,,,3d 2h 16m,
BWEBDEV-8271,,0d 0h 4m,0d 0h 0m,,0d 0h 49m,0d 0h 52m,,,,6d 6h 22m,
BWEBDEV-8270,,0d 0h 13m,0d 2h 46m,,0d 0h 1m,0d 1h 51m,,,,6d 3h 46m,
BWEBDEV-8266,,0d 16h 58m,0d 2h 37m,,0d 0h 7m,6d 5h 40m,,,,,
BWEBDEV-8265,,0d 0h 52m,0d 17h 4m,,0d 1h 1m,0d 1h 46m,,,,6d 5h 4m,
BWEBDEV-8263,,0d 22h 13m,2d 20h 27m,,0d 2h 37m,1d 19h 40m,,,,1d 8h 55m,
BWEBDEV-8262,,0d 16h 55m,,,0d 0h 19m,6d 9h 3m,,,,,
BWEBDEV-8261,,0d 17h 13m,0d 2h 40m,,0d 1h 3m,0d 3h 10m,,,,6d 2h 9m,
BWEBDEV-8258,,0d 1h 19m,0d 0h 31m,,0d 18h 4m,0d 6h 22m,,,,6d 1h 1m,
BWEBDEV-8257,,0d 1h 34m,0d 0h 1m,,0d 0h 1m,0d 0h 36m,,,,7d 1h 22m,
BWEBDEV-8255,,0d 3h 25m,0d 16h 49m,,0d 0h 13m,0d 6h 31m,,,,6d 1h 24m,
BWEBDEV-8252,,0d 0h 25m,0d 0h 10m,,1d 2h 37m,2d 20h 40m,,,,3d 5h 1m,
BWEBDEV-8251,,0d 0h 1m,,,0d 21h 41m,6d 8h 43m,,,,,
BWEBDEV-8249,,0d 2h 25m,0d 0h 1m,,0d 0h 3m,0d 0h 28m,,,,7d 3h 56m,
BWEBDEV-8247,,4d 3h 31m,0d 0h 24m,,1d 18h 49m,1d 8h 55m,,,,,
BWEBDEV-8244,,0d 3h 49m,,,0d 20h 37m,0d 0h 34m,,,,6d 8h 7m,
BWEBDEV-8243,,0d 10h 22m,0d 2h 25m,,0d 0h 16m,6d 1h 50m,,,,1d 4h 49m,
BWEBDEV-8242,,0d 7h 37m,,,0d 5h 40m,1d 2h 8m,,,,6d 4h 22m,
BWEBDEV-8241,,0d 7h 54m,,,0d 4h 42m,7d 6h 25m,,,,0d 1h 4m,
BWEBDEV-8239,,1d 21h 36m,0d 0h 21m,,2d 18h 9m,3d 9h 24m,,,,,
BWEBDEV-8238,,0d 1h 3m,0d 15h 58m,,0d 0h 39m,7d 8h 30m,,,,,
BWEBDEV-8236,,0d 1h 42m,0d 17h 4m,,0d 3h 19m,5d 22h 1m,,,,1d 6h 40m,
BWEBDEV-8235,,0d 1h 8m,0d 0h 0m,,0d 22h 4m,0d 2h 1m,,,,7d 1h 37m,
BWEBDEV-8233,,0d 0h 9m,,,0d 0h 10m,8d 3h 37m,,,,,
BWEBDEV-8232,,0d 0h 15m,1d 3h 45m,,0d 18h 19m,6d 5h 43m,,,,,
BWEBDEV-8231,,1d 20h 42m,,,0d 1h 25m,6d 6h 1m,,,,,
BWEBDEV-8230,,0d 16h 6m,,,4d 3h 55m,0d 1h 21m,,,,3d 6h 55m,
BWEBDEV-8229,,0d 1h 3m,0d 23h 52m,,0d 1h 25m,7d 2h 31m,,,,,
BWEBDEV-8228,,0d 1h 4m,0d 0h 13m,,0d 0h 4m,0d 21h 28m,,,,7d 6h 26m,
BWEBDEV-8226,,2d 4h 7m,0d 0h 33m,,2d 21h 50m,2d 0h 16m,,,,1d 3h 13m,
BWEBDEV-8224,,0d 1h 1m,0d 0h 21m,,0d 0h 15m,5d 0h 27m,,,,3d 4h 4m,
BWEBDEV-8221,,1d 21h 52m,,,,3d 0h 17m,,,,3d 8h 34m,
BWEBDEV-8220,,7d 22h 28m,0d 0h 46m,,0d 0h 51m,0d 6h 49m,,,,,
BWEBDEV-8215,,1d 0h 7m,3d 22h 25m,,0d 1h 25m,3d 7h 7m,,,,,
BWEBDEV-8213,,0d 0h 58m,,,0d 2h 42m,1d 17h 49m,,,,6d 9h 55m,
BWEBDEV-8211,,5d 5h 1m,0d 19h 4m,,0d 23h 52m,1d 7h 52m,,,,,
BWEBDEV-8210,,0d 0h 6m,,,1d 6h 31m,0d 23h 53m,,,,6d 1h 22m,
BWEBDEV-8204,,0d 14h 7m,,,0d 0h 10m,0d 4h 0m,,,,8d 7h 18m,
BWEBDEV-8203,,0d 15h 31m,,,0d 0h 22m,0d 3h 4m,,,,8d 7h 18m,
BWEBDEV-8199,,0d 0h 49m,0d 0h 4m,,1d 0h 34m,0d 21h 1m,,,,7d 4h 7m,
BWEBDEV-8198,,0d 16h 34m,,,0d 1h 6m,0d 2h 21m,,,,8d 6h 52m,
BWEBDEV-8194,,0d 16h 25m,0d 0h 18m,,,0d 6h 58m,,,,8d 3h 49m,
BWEBDEV-8193,,0d 22h 46m,0d 0h 0m,,2d 6h 27m,5d 23h 19m,,,,,
BWEBDEV-8192,,1d 2h 30m,1d 19h 25m,,5d 5h 57m,1d 1h 38m,,,,,
BWEBDEV-8190,,0d 4h 34m,0d 16h 31m,,0d 1h 34m,0d 6h 10m,,,,8d 0h 56m,
BWEBDEV-8189,,0d 4h 27m,0d 0h 55m,,0d 16h 4m,1d 0h 45m,,,,7d 7h 56m,
BWEBDEV-8188,,1d 3h 6m,0d 23h 49m,,0d 19h 43m,3d 3h 40m,,,,3d 3h 55m,
BWEBDEV-8186,,0d 4h 15m,1d 19h 10m,,0d 0h 1m,7d 6h 55m,,,,,
BWEBDEV-8185,,0d 0h 6m,0d 0h 22m,,2d 23h 50m,5d 2h 16m,,,,1d 4h 25m,
BWEBDEV-8182,,0d 0h 4m,1d 0h 6m,,0d 0h 3m,0d 4h 22m,,,,8d 2h 55m,
BWEBDEV-8180,,0d 0h 15m,1d 5h 37m,,0d 19h 4m,7d 6h 56m,,,,,
BWEBDEV-8178,,3d 3h 52m,0d 0h 0m,,5d 2h 46m,1d 1h 40m,,,,,
BWEBDEV-8177,,0d 1h 19m,1d 22h 27m,,1d 0h 28m,0d 6h 46m,,,,6d 1h 22m,
BWEBDEV-8175,,0d 0h 21m,,,0d 0h 7m,9d 8h 41m,,,,,
BWEBDEV-8174,,3d 20h 19m,,,2d 22h 58m,3d 5h 58m,,,,,
BWEBDEV-8173,,0d 0h 54m,0d 0h 4m,,0d 0h 9m,3d 0h 16m,,,,7d 1h 4m,
BWEBDEV-8172,,1d 23h 30m,0d 0h 28m,,1d 1h 52m,7d 0h 40m,,,,,
BWEBDEV-8171,,0d 17h 16m,,,1d 5h 31m,7d 21h 16m,,,,0d 6h 31m,
BWEBDEV-8170,,0d 1h 40m,0d 16h 0m,,0d 5h 39m,9d 1h 37m,,,,0d 1h 45m,
BWEBDEV-8168,,0d 1h 34m,0d 18h 40m,,0d 4h 7m,0d 22h 52m,,,,8d 5h 18m,
BWEBDEV-8167,,0d 0h 43m,1d 0h 53m,,,0d 20h 31m,,,,8d 6h 25m,
BWEBDEV-8165,,0d 0h 4m,0d 0h 43m,,0d 0h 33m,10d 3h 55m,,,,,
BWEBDEV-8164,,0d 0h 22m,,,0d 0h 10m,0d 1h 58m,,,,10d 3h 1m,
BWEBDEV-8163,,0d 2h 27m,0d 0h 0m,,0d 2h 10m,10d 1h 13m,,,,,
BWEBDEV-8162,,0d 2h 7m,0d 3h 43m,,0d 15h 13m,9d 8h 54m,,,,,
BWEBDEV-8332,,8d 23h 56m,0d 0h 18m,,0d 1h 49m,1d 4h 22m,,,,,
BWEBDEV-8161,,0d 5h 31m,0d 16h 19m,,0d 0h 43m,0d 0h 42m,,,,9d 7h 22m,
BWEBDEV-8169,,4d 3h 16m,4d 21h 7m,,1d 6h 13m,0d 0h 19m,,,,,
BWEBDEV-8160,,0d 0h 42m,0d 0h 43m,,,0d 1h 7m,,,,10d 5h 16m,
BWEBDEV-8159,,0d 2h 23m,,,0d 0h 16m,3d 21h 12m,,,,6d 8h 1m,
BWEBDEV-8158,,1d 20h 34m,,,0d 0h 4m,7d 4h 19m,,,,1d 7h 28m,
BWEBDEV-8156,,0d 13h 54m,0d 0h 13m,,,1d 23h 55m,,,,8d 7h 56m,
BWEBDEV-8155,,0d 15h 7m,0d 0h 0m,,3d 9h 15m,6d 22h 5m,,,,,
BWEBDEV-8153,,2d 11h 40m,0d 23h 46m,,0d 6h 31m,9d 2h 20m,,,,,
BWEBDEV-8149,,6d 19h 4m,0d 0h 0m,,0d 1h 30m,4d 20h 46m,,,,1d 8h 52m,
BWEBDEV-8144,,0d 1h 55m,0d 0h 10m,,,13d 0h 1m,,,,0d 1h 11m,
BWEBDEV-8142,,3d 19h 40m,0d 0h 10m,,0d 1h 40m,0d 1h 52m,,,,9d 4h 5m,
BWEBDEV-8141,,0d 2h 40m,2d 18h 35m,,0d 21h 43m,0d 1h 4m,,,,9d 7h 40m,
BWEBDEV-8140,,6d 20h 16m,0d 1h 53m,,4d 20h 49m,1d 8h 52m,,,,,
BWEBDEV-8139,,0d 0h 0m,,,3d 19h 32m,,,,,9d 8h 40m,
BWEBDEV-8138,,0d 0h 10m,0d 0h 19m,,,13d 3h 55m,,,,,
BWEBDEV-8137,,0d 0h 16m,0d 0h 7m,,0d 0h 19m,13d 4h 16m,,,,,
BWEBDEV-8136,,6d 23h 9m,0d 0h 0m,,0d 3h 37m,4d 23h 50m,,,,1d 2h 40m,
BWEBDEV-8135,,0d 1h 34m,0d 0h 22m,,0d 0h 43m,2d 20h 1m,,,,10d 6h 43m,
BWEBDEV-8132,,0d 1h 21m,0d 0h 22m,,0d 0h 25m,4d 21h 35m,,,,8d 6h 25m,
BWEBDEV-8131,,0d 0h 37m,0d 0h 0m,,0d 0h 48m,13d 4h 53m,,,,,
BWEBDEV-8130,,0d 2h 27m,2d 21h 50m,,,1d 1h 46m,,,,9d 4h 22m,
BWEBDEV-8129,,0d 2h 27m,0d 0h 1m,,0d 0h 1m,3d 23h 35m,,,,9d 4h 20m,
BWEBDEV-8128,,4d 3h 50m,0d 21h 48m,,0d 1h 10m,8d 3h 52m,,,,,
BWEBDEV-8126,,5d 15h 1m,0d 0h 1m,,,0d 3h 49m,,,,8d 6h 37m,
BWEBDEV-8125,,0d 16h 23m,,,0d 2h 4m,,,,,13d 7h 25m,
BWEBDEV-8123,,4d 23h 10m,0d 1h 7m,,0d 17h 41m,7d 3h 41m,,,,1d 4h 13m,
BWEBDEV-8119,,0d 0h 31m,0d 0h 25m,,0d 0h 0m,14d 1h 40m,,,,,
BWEBDEV-8118,,0d 17h 52m,0d 0h 10m,,0d 2h 13m,0d 4h 40m,,,,13d 1h 51m,
BWEBDEV-8117,,7d 0h 40m,0d 0h 22m,,0d 0h 22m,5d 20h 3m,,,,1d 5h 31m,
BWEBDEV-8116,,0d 2h 4m,0d 17h 16m,,,3d 0h 16m,,,,10d 7h 52m,
BWEBDEV-8113,,0d 0h 39m,,,0d 19h 21m,0d 1h 55m,,,,13d 6h 21m,
BWEBDEV-8111,,0d 2h 7m,0d 21h 34m,,0d 0h 15m,0d 1h 4m,,,,13d 4h 1m,
BWEBDEV-8110,,0d 0h 19m,0d 2h 19m,,0d 18h 38m,13d 8h 4m,,,,,
BWEBDEV-8109,,0d 0h 21m,0d 21h 10m,,0d 3h 49m,13d 4h 4m,,,,,
BWEBDEV-8108,,3d 21h 15m,0d 0h 4m,,,0d 0h 58m,,,,10d 7h 9m,
BWEBDEV-8107,,0d 2h 45m,0d 2h 7m,,0d 0h 0m,0d 20h 23m,,,,13d 5h 30m,
BWEBDEV-8106,,0d 1h 7m,0d 0h 16m,,4d 20h 55m,0d 1h 18m,,,,9d 7h 28m,
BWEBDEV-8105,,0d 0h 3m,0d 0h 0m,,0d 0h 42m,14d 0h 10m,,,,0d 6h 12m,
