Type,Key,Resolution Date,Backlog,To Do,Open,In Progress,AC Test,Code review,Selected for Development,In Development,Done,Cancelled
,BWEBDEV-8341,,0d 4h 40m,0d 0h 0m,,0d 14h 55m,0d 7h 49m,,,,,
,BWEBDEV-8339,,0d 0h 22m,0d 23h 46m,,0d 1h 31m,0d 3h 6m,,,,,
,BWEBDEV-8318,,0d 0h 46m,0d 1h 21m,,1d 18h 25m,0d 10h 43m,,,,,
,BWEBDEV-8316,,1d 3h 58m,0d 0h 0m,,0d 19h 15m,0d 2h 53m,,,,0d 5h 30m,
,BWEBDEV-8315,,0d 23h 22m,0d 3h 42m,,0d 0h 52m,1d 3h 55m,,,,,
,BWEBDEV-8288,,4d 18h 5m,0d 3h 40m,,0d 1h 37m,1d 2h 18m,,,,,
,BWEBDEV-8285,,0d 1h 23m,2d 15h 43m,,0d 5h 39m,3d 3h 39m,,,,,
,BWEBDEV-8275,,0d 0h 1m,,,0d 0h 7m,5d 23h 41m,,,,0d 6h 15m,
,BWEBDEV-8273,,0d 0h 27m,0d 0h 0m,,0d 0h 37m,2d 22h 57m,,,,3d 6h 43m,
,BWEBDEV-8260,,4d 21h 10m,0d 20h 25m,,0d 5h 28m,1d 3h 58m,,,,,
,BWEBDEV-8259,,4d 17h 49m,,,1d 4h 33m,1d 5h 4m,,,,,
,BWEBDEV-8256,,0d 18h 48m,0d 1h 23m,,0d 2h 4m,4d 22h 1m,,,,1d 7h 38m,
,BWEBDEV-8223,,0d 1h 33m,,,0d 0h 46m,8d 4h 1m,,,,,
,BWEBDEV-8214,,0d 0h 6m,,,1d 0h 36m,7d 2h 3m,,,,0d 4h 42m,
,BWEBDEV-8184,,1d 22h 19m,5d 0h 10m,,0d 5h 22m,2d 3h 23m,,,,,
,BWEBDEV-8176,,0d 1h 46m,1d 4h 43m,,3d 18h 52m,4d 7h 49m,,,,,
,BWEBDEV-8166,,0d 0h 37m,,,0d 19h 30m,9d 8h 39m,,,,,
,BWEBDEV-8152,,0d 0h 12m,,,0d 0h 3m,3d 16h 57m,0d 0h 3m,,,9d 8h 5m,
,BWEBDEV-8151,,0d 0h 15m,,,0d 0h 3m,3d 16h 57m,0d 0h 3m,,,9d 8h 5m,
,BWEBDEV-8148,,0d 1h 6m,5d 17h 4m,,0d 1h 23m,7d 2h 3m,,,,0d 4h 43m,
,BWEBDEV-8147,,0d 0h 10m,0d 0h 13m,,0d 0h 46m,,,,,13d 1h 49m,
,BWEBDEV-8146,,2d 20h 13m,,,1d 5h 1m,6d 19h 26m,0d 21h 52m,,,1d 8h 42m,
