Issue key,Issue id,Created,Resolved,Issue Type,Status,Priority,Due Date,Updated,Resolution,Custom field (Story Points),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint
CORE-10594,3142810,23.02.2026 09:36,24.02.2026 08:15,Task,Done,Major,,27.02.2026 09:16,Fixed,,,,,,,
CORE-10590,3140629,19.02.2026 15:52,23.02.2026 06:20,Task,Done,Major,,23.02.2026 06:21,Fixed,,,,,,,
CORE-10538,3124558,06.02.2026 15:07,24.02.2026 08:10,Task,Done,Major,,24.02.2026 08:10,Done,3.0,,,,,,
CORE-10531,3122421,05.02.2026 10:11,05.02.2026 10:55,Task,Done,Major,,05.02.2026 10:55,Done,,,,,,,
CORE-10529,3120896,04.02.2026 14:12,04.02.2026 14:26,Story,Done,Major,,04.02.2026 14:26,Fixed,,,,,,,
CORE-10528,3120894,04.02.2026 14:11,05.02.2026 11:31,Story,Done,Major,,05.02.2026 11:31,Fixed,,,,,,,
CORE-10520,3117447,02.02.2026 12:10,12.02.2026 13:21,Task,Done,Major,,12.02.2026 13:21,Done,,,,,,,
CORE-10499,3101213,27.01.2026 08:37,10.02.2026 12:06,Task,Done,Major,,10.02.2026 12:06,Done,3.0,,,,,,
CORE-10479,3090241,21.01.2026 15:44,22.01.2026 10:04,Task,Done,Major,,22.01.2026 10:04,Fixed,,,,,,,
CORE-10472,3088960,21.01.2026 10:59,02.02.2026 08:05,Bug,Done,Major,,02.02.2026 08:05,Fixed,,,,,,,
CORE-10416,3083598,16.01.2026 14:13,29.01.2026 10:55,Task,Done,Major,,29.01.2026 10:55,Fixed,3.0,26PI1_1-Iron,,,,,
CORE-10412,3083293,16.01.2026 12:14,26.02.2026 12:42,Task,Done,Major,,26.02.2026 12:42,Fixed,1.0,26PI1_3-Gold,,,,,
CORE-10411,3083006,16.01.2026 09:22,29.01.2026 10:53,Task,Done,Major,,29.01.2026 10:53,Fixed,5.0,26PI1_2-Iron,,,,,
CORE-10409,3081857,15.01.2026 13:34,23.01.2026 11:35,Task,Done,Major,,23.01.2026 11:35,Fixed,2.0,26PI1_1-Gold,,,,,
CORE-10399,3080635,15.01.2026 09:06,02.02.2026 11:09,Task,Done,Major,,02.02.2026 11:09,Done,,,,,,,
CORE-10398,3080553,15.01.2026 08:55,10.02.2026 13:40,Task,Done,Major,,10.02.2026 13:40,Done,3.0,,,,,,
CORE-10397,3080607,15.01.2026 08:50,12.02.2026 08:29,Task,Done,Major,,12.02.2026 08:29,Done,,,,,,,
CORE-10395,3080271,15.01.2026 07:54,05.02.2026 10:17,Task,Done,Major,,05.02.2026 10:17,Fixed,10.0,26PI1_1-Gold,,,,,
CORE-10392,3079847,14.01.2026 15:07,26.02.2026 12:42,Task,Done,Major,,26.02.2026 12:42,Fixed,4.0,26PI1_3-Gold,,,,,
CORE-10390,3079319,14.01.2026 12:30,19.01.2026 14:31,Task,Done,Major,,19.01.2026 14:31,Fixed,5.0,,,,,,
CORE-10387,3077389,13.01.2026 13:55,29.01.2026 13:27,Task,Done,Major,,12.02.2026 12:21,Fixed,,,,,,,
CORE-10386,3077412,13.01.2026 12:55,23.01.2026 10:01,Task,Done,Major,,23.01.2026 10:01,Fixed,2.0,26PI1_1-Gold,,,,,
CORE-10385,3076910,13.01.2026 10:24,27.02.2026 06:31,Task,Done,Major,,27.02.2026 06:31,Fixed,,,,,,,
CORE-10383,3076375,13.01.2026 06:35,03.02.2026 09:50,Task,Done,Major,,13.02.2026 09:36,Fixed,,,,,,,
CORE-10376,3073215,09.01.2026 09:12,19.02.2026 12:18,Task,Done,Major,,19.02.2026 12:19,Fixed,2.0,26PI1_2-Iron,,,,,
CORE-10369,3072547,08.01.2026 14:46,20.02.2026 15:29,Task,Done,Major,,20.02.2026 15:29,Fixed,5.0,26PI1_2-Iron,,,,,
CORE-10358,3069148,05.01.2026 15:52,30.01.2026 11:34,Task,Done,Major,,30.01.2026 11:34,Fixed,,,,,,,
CORE-10341,3069111,05.01.2026 14:23,26.02.2026 16:15,Task,Done,Major,,26.02.2026 16:15,Fixed,4.0,26PI1_2-Iron,,,,,
CORE-10301,3068968,05.01.2026 14:16,10.02.2026 07:21,Task,Done,Major,,10.02.2026 07:21,Done,4.0,26PI1_1-Iron,26PI1_2-Iron,,,,
CORE-10285,3068942,05.01.2026 13:49,04.02.2026 14:45,Task,Done,Major,,04.02.2026 14:45,Done,3.0,26PI1_1-Iron,,,,,
CORE-10269,3068926,05.01.2026 13:47,12.02.2026 14:12,Task,Done,Major,,12.02.2026 14:12,Fixed,3.0,26PI1_3-Gold,,,,,
