Issue key,Issue id,Created,Resolved,Issue Type,Status,Priority,Due Date,Updated,Resolution,Custom field (Story Points),Sprint,Sprint
CORE-10604,3149685,27.02.2026 08:29,,Task,Development,Major,,27.02.2026 08:38,,,,
CORE-10603,3149661,27.02.2026 06:54,,Task,Development,Major,,27.02.2026 09:45,,,,
CORE-10600,3145127,24.02.2026 13:56,,Task,On Hold,Major,,25.02.2026 19:38,,,,
CORE-10596,3144542,24.02.2026 09:45,,Task,Ready for Testing,Major,,26.02.2026 08:17,,,26PI1_3-Gold,
CORE-10595,3143758,23.02.2026 14:34,,Task,To Do,Major,,25.02.2026 19:37,,,,
CORE-10558,3132909,13.02.2026 08:55,,Task,Ready for Testing,Major,,20.02.2026 08:28,,,,
CORE-10540,3125906,09.02.2026 11:37,,Task,Development,Major,,20.02.2026 09:23,,,,
CORE-10525,3119945,04.02.2026 06:30,,Task,Business acceptance test,Critical,,23.02.2026 12:53,,1.0,,
CORE-10517,3116132,30.01.2026 13:43,,Task,Open,Major,,26.02.2026 14:30,,,,
CORE-10508,3108822,28.01.2026 08:54,,Story,Refinement,Major,,28.01.2026 08:59,,,,
CORE-10436,3086906,20.01.2026 10:46,,Task,Testing,Major,,27.02.2026 11:45,,9.0,26PI1_3-Gold,
CORE-10435,3086757,20.01.2026 10:41,,Task,Open,Major,,20.01.2026 10:43,,15.0,26PI1_3-Gold,
CORE-10434,3086684,20.01.2026 10:38,,Task,To Do,Major,,10.02.2026 14:16,,5.0,,
CORE-10424,3084285,19.01.2026 07:55,,Task,Open,Major,,19.01.2026 07:55,,,,
CORE-10417,3084172,19.01.2026 06:52,,Task,On Hold,Major,,10.02.2026 22:23,,5.0,26PI1_3-Gold,
CORE-10391,3079336,14.01.2026 12:54,,Task,Open,Major,,14.01.2026 12:54,,,,
CORE-10368,3072435,08.01.2026 13:58,,Task,Development,Major,,23.02.2026 07:49,,15.0,26PI1_2-Gold,
CORE-10349,3069120,05.01.2026 14:24,,Task,On Hold,Major,,03.02.2026 08:25,,4.0,26PI1_2-Iron,
CORE-10333,3069103,05.01.2026 14:21,,Task,On Hold,Major,,10.02.2026 12:53,,4.0,26PI1_1-Gold,26PI1_2-Gold
CORE-10325,3068995,05.01.2026 14:20,,Task,On Hold,Major,,09.02.2026 13:38,,4.0,26PI1_1-Iron,26PI1_2-Iron
CORE-10317,3068985,05.01.2026 14:18,,Task,On Hold,Major,,09.02.2026 13:38,,4.0,26PI1_1-Iron,26PI1_2-Iron
CORE-10309,3068976,05.01.2026 14:17,,Task,On Hold,Major,,09.02.2026 13:38,,4.0,26PI1_1-Iron,26PI1_2-Iron
CORE-10293,3068960,05.01.2026 14:13,,Task,On Hold,Major,,09.02.2026 13:38,,4.0,26PI1_1-Iron,26PI1_2-Iron
CORE-10277,3068934,05.01.2026 13:48,,Task,Testing,Major,,25.02.2026 08:27,,3.0,26PI1_1-Iron,26PI1_2-Iron
CORE-10237,3068693,05.01.2026 13:36,,Task,On Hold,Major,,09.02.2026 13:38,,4.0,26PI1_1-Iron,26PI1_2-Iron
CORE-10229,3068684,05.01.2026 13:34,,Task,On Hold,Major,,02.02.2026 13:16,,8.0,26PI1_2-Iron,
CORE-10150,3064197,19.12.2025 11:38,,Story,Refinement,Major,,20.01.2026 11:37,,3.0,,
CORE-10145,3063941,19.12.2025 09:28,,Story,Refinement,Major,,22.01.2026 12:10,,7.0,26PI1_3-Gold,
CORE-10144,3063839,19.12.2025 09:11,,Story,Development,Major,,26.02.2026 08:05,,5.0,26PI1_3-Gold,
CORE-10065,3044821,03.12.2025 10:45,,Task,Open,Major,,03.12.2025 10:58,,,,
CORE-10064,3044812,03.12.2025 10:33,,Task,Open,Major,,12.02.2026 12:21,,,,
CORE-10049,3040222,28.11.2025 13:15,,Task,Open,Major,,29.12.2025 09:38,,,,
CORE-9948,3019015,14.11.2025 14:47,,Task,To Do,Major,,09.02.2026 17:14,,,,
CORE-9931,3012505,12.11.2025 14:49,,Story,To Do,Major,,10.02.2026 22:21,,1.0,26PI1_2-Gold,
CORE-9930,3011190,12.11.2025 13:10,,Story,Development,Major,,27.02.2026 08:16,,5.0,26PI1_2-Gold,
CORE-9921,3010513,12.11.2025 10:53,,Story,Development,Major,,10.02.2026 11:13,,,26PI1_2-Gold,
CORE-9908,3004865,10.11.2025 11:07,,Story,Development,Major,,27.02.2026 08:16,,5.0,26PI1_2-Gold,
CORE-9907,3004863,10.11.2025 11:07,,Story,Development,Major,,12.02.2026 08:48,,5.0,26PI1_2-Gold,
CORE-9770,2995038,03.11.2025 15:10,,Task,On Hold,Major,,27.01.2026 07:43,,,,
CORE-9571,2972764,16.10.2025 09:21,,Task,Testing,Major,,19.02.2026 08:23,,,,
CORE-9570,2972760,16.10.2025 09:17,,Task,Testing,Major,,19.02.2026 08:20,,,,
CORE-9569,2972755,16.10.2025 09:13,,Task,Testing,Major,,19.02.2026 08:23,,,,
CORE-9553,2969718,14.10.2025 11:23,,Story,Development,Major,,09.02.2026 18:51,,5.0,26PI1_2-Gold,
CORE-9493,2962691,08.10.2025 14:47,,Task,To Do,Major,,18.12.2025 16:29,,,,
CORE-9352,2923413,09.09.2025 13:13,,Task,Testing,Major,,25.02.2026 14:08,,,,
CORE-9345,2923052,09.09.2025 12:51,,Task,Testing,Major,,03.02.2026 13:41,,,,
CORE-9343,2923050,09.09.2025 12:50,,Task,Testing,Major,,25.02.2026 14:08,,,,
CORE-9342,2923049,09.09.2025 12:50,,Task,Testing,Major,,25.02.2026 14:08,,,,
CORE-9337,2916130,08.09.2025 08:58,,Task,Analysis,Major,,20.11.2025 11:58,,,,
CORE-9279,2899693,27.08.2025 14:50,,Task,On Hold,Major,,14.01.2026 12:41,,2.0,,
CORE-9256,2891690,21.08.2025 08:50,,Task,Ready for Testing,Major,,12.02.2026 08:37,,2.0,26PI1_1-Gold,26PI1_2-Gold
CORE-9217,2878997,07.08.2025 08:53,,Task,To Do,Major,,12.01.2026 09:49,,,,
