Type,Key,Summary,Resolution Date,Open,To Do,On Hold,Development,Ready for Testing,Testing,Code review,Refinement,Business acceptance test,Analysis
,,Average time taken (from table),,317.67h,331.31h,793.46h,371.65h,203.96h,91.59h,41.82h,763.04h,69.36h,116.90h
,CORE-10813,IBANK BUSINESS EE OFFLINE statements generation is failing,3/20/26,0.47h,0.75h,,1.93h,0.03h,0.05h,,,,
,CORE-10774,TIDY Index table crebit.DEPOSIT_ATTRIBUTE_VALUE_LOG,3/18/26,24.58h,,,0.45h,20.38h,0.10h,,,,
,CORE-10773,TIDY Index tables crebit.E_INT_MAAR_LOG and crebit.E_INT_TING_LOG,3/18/26,24.45h,,,0.90h,20.27h,,,,,
,CORE-10725,TIDY Index crebit.cash_auth_req,3/16/26,3.10h,,,,67.98h,0.37h,,,,
,CORE-10707,Ibank Private: deposits comparison table bug when resizing window,3/18/26,0.00h,,,4.20h,3.48h,20.23h,112.70h,,,
,CORE-10698,EE iBank private: overnight interest rate table amount out of order,3/16/26,0.00h,,,6.97h,77.58h,,17.28h,,,
,CORE-10684,Statements DB changes,3/17/26,95.48h,70.57h,,19.37h,,,,,,
,CORE-10683,TIDY Distribute GDM engagements equally among consumers,3/19/26,0.62h,65.00h,,120.05h,45.27h,4.92h,,,,
,CORE-10682,iBank private: Easy Saver calculator interest rate loaded from Deposits API,3/17/26,16.77h,,,7.47h,160.87h,1.68h,,,,
,CORE-10612,TIDY Index crebit.cut[number] tables,3/4/26,66.87h,,,22.48h,22.55h,,,,,
,CORE-10610,TIDY Index crebit.ik_mk_logi_arh and crebit.ik_mk_arh,3/3/26,72.72h,,,,17.12h,,,,,
,CORE-10609,TIDY Index crebit.unregistered_service_log,3/3/26,73.07h,,,,16.30h,,,,,
,CORE-10608,TIDY Index crebit.qn_response_log,3/3/26,73.73h,,,,16.23h,,,,,
,CORE-10607,VoP performance after all changes,3/19/26,0.00h,,,,,482.22h,,,,
,CORE-10606,TIDY Index crebit.arve_vv_logi,3/3/26,73.93h,,,,16.12h,,,,,
,CORE-10604,Change order of PROD Kafka bootstrap servers,3/2/26,0.00h,,,70.18h,,,,,,
,CORE-10603,iBank business - interest rates loaded from Deposits API,3/19/26,0.25h,,,167.53h,240.57h,63.27h,7.23h,,,
,CORE-10596,Incorrect BIC validation,3/19/26,5.07h,,,18.28h,118.40h,411.42h,0.00h,,,
,CORE-10594,TIDY Index crebit.customer_limit_log,2/24/26,0.07h,,,2.17h,20.32h,0.07h,,,,
,CORE-10590,LT: for arrest reservation end date should be set,2/23/26,16.23h,,,0.60h,69.52h,0.08h,,,,
,CORE-10558,Ibank: Deposits API usage in interest rates page and pricelist page,3/18/26,0.22h,,,119.43h,667.13h,1.60h,7.23h,,,
,CORE-10538,TIDY Add and use accounts attributes table in LDM,2/24/26,0.00h,0.90h,,194.73h,138.67h,,,90.70h,,
,CORE-10531,GATE environment generated files must be written into the GATE filebarn,2/5/26,0.70h,,,,,0.02h,,,,
,CORE-10529,Update iBank GATE to use GATE APIs,2/4/26,0.00h,0.22h,,,,,,,,
,CORE-10528,Update STAR GATE to use GATE APIs,2/5/26,0.00h,0.10h,,,,,21.23h,,,
,CORE-10525,For start-up pricelist should be added additional products,3/2/26,30.43h,120.15h,,38.90h,261.83h,76.52h,0.67h,,161.82h,
,CORE-10520,API tests: Extend API tests and classes with vaults properties,2/12/26,0.00h,,,241.13h,,0.03h,,,,
,CORE-10499,Onboard core-position-keeping-account-balance-api GATE to skyvault as an andromeda application/1,2/10/26,54.98h,,,143.65h,140.82h,,,,,
,CORE-10479,Whitelisting Account api GATE,1/22/26,0.22h,17.45h,,,,,0.63h,,,
,CORE-10472,Retention rule for crebit.eszr_ctpy_request_type is missing,2/2/26,166.35h,,,2.38h,47.83h,68.50h,,,,
,CORE-10436,PSD2 statements with balances,3/3/26,333.20h,,,393.10h,132.73h,122.08h,,,24.45h,
,CORE-10416,TIDY Merge collection and deletion in one batch for local disposal,1/29/26,0.02h,,,196.87h,45.95h,,,65.83h,,
,CORE-10412,Account Ownership API: Additionally providing client's first name swapped with last name,2/26/26,452.67h,,,26.83h,165.48h,336.72h,2.75h,,,
,CORE-10411,TIDY Reduce execution cycles needed to delete engagement data,1/29/26,0.00h,92.05h,,101.50h,43.75h,,,76.18h,,
,CORE-10409,"core-transaction-api response attribute ""exchangeRateActual"" value must be rounded to 6 decimal places",1/23/26,0.08h,,,166.05h,21.25h,2.62h,,,,
,CORE-10399,Filebarn API certificate will expire (bca_reports_PB ),2/2/26,0.30h,123.75h,,19.85h,290.12h,0.00h,,,,
,CORE-10398,Migrate kSQL resources to w663 cluster,2/10/26,261.13h,,342.05h,25.55h,,,,,,
,CORE-10397,Filebarn API certificate will expire,2/12/26,24.25h,81.73h,,14.82h,,550.83h,,,,
,CORE-10395,Notification center message generation using RestAPI service,2/5/26,0.00h,,,181.22h,98.23h,47.75h,,,,179.17h
,CORE-10392,Account Ownership API: Additionally providing names after normalization,2/26/26,498.68h,,,63.32h,17.45h,344.38h,105.72h,,,
,CORE-10390,TIDY Implement double identification for disposal candidate records,1/19/26,0.00h,0.85h,,69.58h,51.53h,,,0.00h,,
,CORE-10387,"TIDY Add account types CE, CG, and CL to LDM setup",1/29/26,0.02h,,,,23.55h,0.90h,,359.05h,,
,CORE-10386,LV: Custom booking for Easy Saver,1/23/26,54.47h,133.40h,,,23.42h,0.97h,24.82h,,,
,CORE-10385,"Onboard Azure NS to Andromeda Portal (DEV, TEST, GATE)",2/27/26,0.00h,,1076.10h,,,,,,,
,CORE-10383,Ibank get interest rate from Deposits API in deposits product page,2/3/26,0.00h,,,168.95h,3.23h,262.22h,72.82h,,,
,CORE-10376,TIDY New batch to check shadow tables structure,2/19/26,0.00h,378.53h,,133.75h,203.90h,26.50h,,244.37h,,
,CORE-10369,TIDY Create shadow tables for data backup,2/20/26,0.03h,233.83h,,272.32h,183.73h,80.00h,,262.75h,,
,CORE-10368,Easy Saver and Savings Incentive,3/6/26,173.73h,179.80h,5.50h,960.42h,1.10h,,24.87h,,21.82h,
,CORE-10358,TIDY Update disposal summary record when global disposal is canceled,1/30/26,0.03h,,,,23.20h,22.08h,,550.35h,,
,CORE-10341,Onboard worker-ldm-task-exec GATE to skyvault as an andromeda application,2/26/26,332.42h,27.25h,,406.97h,483.20h,,,,,
,CORE-10301,Onboard worker-statementsdb-sync GATE to skyvault as an andromeda application/1,2/10/26,332.48h,71.57h,,286.05h,166.95h,,,,,
,CORE-10285,Onboard core-deposit-guarantee-fund-api GATE to skyvault as an andromeda application,2/4/26,235.98h,,,459.57h,25.13h,0.22h,,,,
,CORE-10277,Onboard agreementorch-api GATE to skyvault as an andromeda application,3/2/26,236.03h,21.58h,314.60h,598.60h,,123.10h,47.80h,,,
,CORE-10269,Onboard core-vop-request-processor-api GATE to skyvault as an andromeda application,2/12/26,404.67h,,,287.07h,220.63h,,,,,
,CORE-10261,Onboard core-vop-match-engine-api GATE to skyvault as an andromeda application,2/12/26,386.22h,,,305.53h,220.63h,,,,,
,CORE-10253,Onboard core-vop-acc-ownership-api GATE to skyvault as an andromeda application,2/10/26,379.10h,,,313.00h,170.95h,0.02h,,,,
,CORE-10245,Onboard core-deposits-api GATE to skyvault as an andromeda application,1/29/26,194.52h,,,311.08h,70.38h,0.00h,,,,
,CORE-10221,Onboard baltic-stmt-trx-core-api GATE to skyvault as an andromeda application,1/30/26,240.03h,,,288.82h,65.58h,,,,,
,CORE-10213,Onboard baltic-stmt-res-core-api GATE to skyvault as an andromeda application,2/6/26,242.18h,,,427.55h,48.28h,52.95h,,,,
,CORE-10205,Onboard pricing-api GATE to skyvault as an andromeda application,1/29/26,238.67h,,,295.07h,45.13h,0.02h,,,,
,CORE-10197,Onboard core-cash-handling-api-baltic GATE to skyvault as an andromeda application,1/29/26,239.63h,,,289.43h,45.10h,,,,,
