Type,Key,Summary,Resolution Date,Open,To Do,On Hold,Backlog,Development,Ready for Testing,Code review,Analysis,Refinement,Testing
,,Average time taken (from table),,2557.50h,1833.01h,668.70h,915.57h,387.86h,730.87h,41.68h,1954.58h,3651.08h,603.10h
,CORE-10811,Create kafka connector to publish offline statement order events,,0.00h,0.00h,,,2.25h,42.33h,,,,
,CORE-10810,TIDY merge CUT* tables in EE ARCH,,47.05h,,,,,,,,,
,CORE-10809,Local disposal from LEEDU.TIC_REQ_DETAILS is slow,,49.63h,,,,,,,,,
,CORE-10808,revisit heap size of applications and remove memory limits,,0.08h,66.20h,,,,,,,,
,CORE-10805,TIDY Index CREBIT.KUUSALDO in LV ARCH,,70.17h,,,,,,,,,
,CORE-10783,"Remove ""status"" from results table",,10.72h,2.57h,,,0.17h,42.18h,53.67h,,,
,CORE-10782,Change Statements API to support new reporting request,,11.38h,1.42h,,,3.22h,39.13h,54.83h,,,
,CORE-10781,Change reporting worker to support offline orders,,12.28h,2.77h,,,4.62h,42.17h,49.05h,,,
,CORE-10776,TIDY Index table crebit.KO_SALDO to improve disposal process performance,,19.05h,,,,0.28h,95.20h,,,,
,CORE-10775,TIDY Drop FK or index columns referencing to crebit.valarve,,28.08h,,,,,,,90.33h,,
,CORE-10729,Replacement for Accounts API endpoint /v1/accounts/country/{countryCode}/balance/iso/accountid/,,69.67h,76.28h,,,34.50h,,9.15h,,,
,CORE-10717,Impact investigation - upcoming policy changes in AKS,,0.00h,212.43h,,,,,,,,
,CORE-10708,LV_DGF Onboard core-deposit-guarantee-fund-api PROD to Skyvault as an Andromeda application,,0.05h,47.60h,,,,,,,166.15h,
,CORE-10665,PERF.TESTs: GET statementTransactionsByAccountNumber test has response status code 500,,380.38h,,,,,,,,,
,CORE-10643,Core Report performance tests,,339.33h,92.72h,,,,,,,,
,CORE-10600,Create kafka sink connector for offline statement events (stmt order in kafka topic directly),,27.85h,1.83h,566.30h,,,,,,,
,CORE-10595,Create kafka connector to publish generated offline statement events,,0.00h,331.52h,,,,,,,,287.83h
,CORE-10540,Improvement of lib-balticcore-integration,,261.77h,,,,696.55h,,,,,
,CORE-10517,Migrate to Java Records,,786.63h,,,,409.57h,,,,,
,CORE-10508,DROP LT.MKL_SULA package,,0.02h,,,,,,,,1249.02h,
,CORE-10435,Placeholder: Publishing VOP events to Kafka topic,,1439.25h,,,,,,,,,
,CORE-10424,TIDY Data restoration process implementation,,1248.42h,,217.60h,,,,,,,
,CORE-10417,Infrastructure set up,,176.88h,183.78h,725.62h,,380.77h,,,,,
,CORE-10391,TIDY Schedule execution of ACDMC and ACDMA runJobs,,1581.03h,,,,,,,,,
,CORE-10349,Onboard worker-ldm-events-publisher GATE to skyvault as an andromeda application,,332.40h,45.80h,1105.52h,,311.77h,,,,,
,CORE-10333,Onboard worker-transaction-enricher GATE to skyvault as an andromeda application,,691.07h,,1104.48h,,0.02h,,,,,
,CORE-10325,Onboard worker-acct-event-kafka-publisher GATE to skyvault as an andromeda application,,337.25h,,1124.63h,,333.72h,,,,,
,CORE-10317,Onboard worker-acc-closure-helper GATE to skyvault as an andromeda application,,332.45h,1.42h,1105.53h,,356.22h,,,,,
,CORE-10309,Onboard worker-offline-statement-generator GATE to skyvault as an andromeda application,,262.10h,,1124.67h,,408.87h,,,,,
,CORE-10293,Onboard worker-stmt-req-reporting GATE to skyvault as an andromeda application,,240.22h,,1124.65h,,430.83h,,,,,
,CORE-10237,Onboard core-offline-statements-api GATE to skyvault as an andromeda application,,240.80h,,1218.15h,,287.63h,49.73h,,,,
,CORE-10229,Onboard statements-api GATE to skyvault as an andromeda application,,240.82h,,1124.67h,,430.85h,,,,,
,CORE-10150,[API] Custom booking - GET custom booking transaction types,,2.88h,,,,,,,,2203.42h,
,CORE-10145,[STAR] Custom booking (Account) - Fill custom booking transaction data.,,772.97h,,,,,,,,1435.50h,
,CORE-10144,[STAR] Custom booking (Account) - Select custom booking transaction.,,413.45h,16.38h,,,553.85h,,,,1225.05h,
,CORE-10124,Forms Teller - Skyvault testing,2/25/26,815.45h,,0.02h,,,385.97h,,,,694.05h
,CORE-10065,TIDY Disposal of accounts closed before 01.01.2007.,,2591.18h,,,,,,,,,
,CORE-10064,TIDY Implement retention rules for account types belonging to other areas,,2376.03h,,,,,,,215.35h,,
,CORE-10049,Decrease data storage in statements.reporting_request,,2708.68h,,,,,,,,,
,CORE-10008,VoP - Skyvault testing,2/10/26,816.55h,47.45h,0.00h,,,376.65h,,,,846.93h
