Issue key,Issue id,Created,Resolved,Issue Type,Status,Priority,Due Date,Updated,Resolution,Custom field (Story Points),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint
IBSET-973,3146097,25.02.2026 10:19,,Task,In Progress,Major,,26.02.2026 14:14,,1.0,IBSET PI1:2026 Iteration3,,,,,,
IBSET-972,3143130,23.02.2026 10:55,,Task,Backlog,Major,,25.02.2026 10:28,,1.0,IBSET PI1:2026 Iteration3,,,,,,
IBSET-970,3140762,20.02.2026 08:48,,Bug,Backlog,Major,,25.02.2026 10:25,,,IBSET PI1:2026 Iteration3,,,,,,
IBSET-969,3140498,19.02.2026 16:15,,Task,Backlog,Major,,20.02.2026 08:21,,,,,,,,,
IBSET-968,3140486,19.02.2026 16:01,,Task,Backlog,Major,,19.02.2026 16:01,,,,,,,,,
IBSET-967,3140539,19.02.2026 15:48,,Task,Backlog,Major,,19.02.2026 15:48,,,,,,,,,
IBSET-966,3140146,19.02.2026 13:24,,Task,Backlog,Major,,19.02.2026 13:24,,,,,,,,,
IBSET-964,3138616,18.02.2026 12:47,,Task,In Progress,Major,,25.02.2026 10:32,,,IBSET PI1:2026 Iteration2,IBSET PI1:2026 Iteration3,,,,,
IBSET-944,3119742,03.02.2026 15:22,,Task,Backlog,Major,,03.02.2026 15:22,,,,,,,,,
IBSET-940,3109534,28.01.2026 09:57,,Bug,In Progress,Major,,25.02.2026 10:32,,,IBSET PI1:2026 Iteration1,IBSET PI1:2026 Iteration2,IBSET PI1:2026 Iteration3,,,,
IBSET-939,3102246,27.01.2026 10:20,,Task,Backlog,Major,,27.01.2026 10:20,,,,,,,,,
IBSET-938,3101475,27.01.2026 09:33,,Task,In Progress,Major,,25.02.2026 10:32,,2.0,IBSET PI1:2026 Iteration1,IBSET PI1:2026 Iteration2,IBSET PI1:2026 Iteration3,,,,
IBSET-928,3088173,20.01.2026 21:38,,Task,Backlog,Major,,25.02.2026 10:32,,3.0,IBSET PI1:2026 Iteration2,IBSET PI1:2026 Iteration3,,,,,
IBSET-927,3088172,20.01.2026 21:33,,Task,Ready for Release,Major,,17.02.2026 09:16,,1.0,IBSET PI1:2026 Iteration2,,,,,,
IBSET-926,3088170,20.01.2026 21:30,,Task,Backlog,Major,,25.02.2026 10:32,,3.0,IBSET PI1:2026 Iteration3,,,,,,
IBSET-925,3088169,20.01.2026 21:29,,Task,In Progress,Major,,25.02.2026 10:32,,3.0,IBSET PI1:2026 Iteration2,IBSET PI1:2026 Iteration3,,,,,
IBSET-924,3088168,20.01.2026 21:29,,Task,Backlog,Major,,26.02.2026 10:39,,3.0,IBSET PI1:2026 Iteration3,,,,,,
IBSET-923,3088167,20.01.2026 21:29,,Task,In Progress,Major,,26.02.2026 15:17,,3.0,IBSET PI1:2026 Iteration3,,,,,,
IBSET-922,3088166,20.01.2026 21:29,,Task,Backlog,Major,,20.01.2026 22:48,,3.0,IBSET PI1:2026 Iteration4,,,,,,
IBSET-921,3088165,20.01.2026 21:28,,Task,Backlog,Major,,20.01.2026 22:48,,3.0,IBSET PI1:2026 Iteration4,,,,,,
IBSET-920,3088164,20.01.2026 21:28,,Task,Code review,Major,,26.02.2026 15:02,,3.0,IBSET PI1:2026 Iteration2,IBSET PI1:2026 Iteration3,,,,,
IBSET-919,3088162,20.01.2026 21:27,,Task,Acceptance test,Major,,26.02.2026 14:47,,3.0,IBSET PI1:2026 Iteration2,IBSET PI1:2026 Iteration3,,,,,
IBSET-915,3087091,20.01.2026 12:58,,Task,Backlog,Major,,20.01.2026 22:16,,2.0,IBSET PI1:2026 IP Iteration,,,,,,
IBSET-913,3087266,20.01.2026 12:18,,Task,Backlog,Major,,21.01.2026 13:32,,,,,,,,,
IBSET-911,3086795,20.01.2026 11:08,,Task,Backlog,Major,,20.01.2026 22:44,,3.0,IBSET PI1:2026 Iteration4,,,,,,
IBSET-908,3086836,20.01.2026 10:43,,Task,Backlog,Major,,20.01.2026 14:47,,,,,,,,,
IBSET-906,3086830,20.01.2026 10:38,,Task,Backlog,Major,,26.02.2026 10:45,,5.0,IBSET PI1:2026 Iteration4,,,,,,
IBSET-905,3086749,20.01.2026 10:36,,Task,Backlog,Major,,21.01.2026 13:32,,3.0,,,,,,,
IBSET-903,3086574,20.01.2026 10:15,,Task,Backlog,Major,,20.01.2026 22:16,,1.0,IBSET PI1:2026 IP Iteration,,,,,,
IBSET-902,3086560,20.01.2026 10:00,,Task,Backlog,Major,,20.01.2026 22:42,,3.0,IBSET PI1:2026 Iteration4,,,,,,
IBSET-900,3086555,20.01.2026 09:56,,Task,In Progress,Major,,25.02.2026 10:32,,3.0,IBSET PI1:2026 Iteration2,IBSET PI1:2026 Iteration3,,,,,
IBSET-899,3086552,20.01.2026 09:55,,Task,Ready for Release,Major,,25.02.2026 10:23,,5.0,IBSET PI1:2026 Iteration1,IBSET PI1:2026 Iteration2,,,,,
