Issue key,Issue id,Created,Resolved,Issue Type,Status,Priority,Due Date,Updated,Resolution,Custom field (Story Points),Sprint,Sprint
CORE-10601,3146839,25.02.2026 13:55,,Bug,Code review,Major,,25.02.2026 15:49,,,,
CORE-10593,3141996,20.02.2026 15:42,,Task,Open,Major,,20.02.2026 15:42,,,,
CORE-10592,3141979,20.02.2026 15:14,,Task,Open,Major,,20.02.2026 15:14,,,,
CORE-10575,3135859,16.02.2026 15:13,,Task,Refinement,Major,,19.02.2026 12:29,,,,
CORE-10517,3116132,30.01.2026 13:43,,Task,Open,Major,,26.02.2026 14:30,,,,
CORE-10507,3101173,27.01.2026 09:02,,Task,Testing,Major,,23.02.2026 12:32,,,,
CORE-10439,3087482,20.01.2026 14:43,,Task,To Do,Major,,26.02.2026 09:26,,2.0,,
CORE-10432,3086128,20.01.2026 07:41,,Story,To Do,Major,,17.02.2026 08:25,,1.0,,
CORE-10424,3084285,19.01.2026 07:55,,Task,Open,Major,,19.01.2026 07:55,,,,
CORE-10403,3081250,15.01.2026 10:41,,Task,On Hold,Major,,04.02.2026 14:46,,10.0,,
CORE-10401,3080858,15.01.2026 09:48,,Task,On Hold,Major,,19.01.2026 10:48,,10.0,,
CORE-10400,3080708,15.01.2026 09:08,,Task,Development,Major,,19.02.2026 08:29,,,26PI1_1-Iron,26PI1_2-Iron
CORE-10393,3080128,14.01.2026 16:12,,Story,Testing,Major,,17.02.2026 12:15,,,,
CORE-10391,3079336,14.01.2026 12:54,,Task,Open,Major,,14.01.2026 12:54,,,,
CORE-10357,3069145,05.01.2026 15:25,,Task,Open,Major,,05.01.2026 15:25,,,,
CORE-10349,3069120,05.01.2026 14:24,,Task,On Hold,Major,,03.02.2026 08:25,,4.0,26PI1_2-Iron,
CORE-10333,3069103,05.01.2026 14:21,,Task,On Hold,Major,,10.02.2026 12:53,,4.0,26PI1_1-Gold,26PI1_2-Gold
CORE-10325,3068995,05.01.2026 14:20,,Task,On Hold,Major,,09.02.2026 13:38,,4.0,26PI1_1-Iron,26PI1_2-Iron
CORE-10317,3068985,05.01.2026 14:18,,Task,On Hold,Major,,09.02.2026 13:38,,4.0,26PI1_1-Iron,26PI1_2-Iron
CORE-10309,3068976,05.01.2026 14:17,,Task,On Hold,Major,,09.02.2026 13:38,,4.0,26PI1_1-Iron,26PI1_2-Iron
CORE-10293,3068960,05.01.2026 14:13,,Task,On Hold,Major,,09.02.2026 13:38,,4.0,26PI1_1-Iron,26PI1_2-Iron
CORE-10277,3068934,05.01.2026 13:48,,Task,Testing,Major,,25.02.2026 08:27,,3.0,26PI1_1-Iron,26PI1_2-Iron
CORE-10237,3068693,05.01.2026 13:36,,Task,On Hold,Major,,09.02.2026 13:38,,4.0,26PI1_1-Iron,26PI1_2-Iron
CORE-10229,3068684,05.01.2026 13:34,,Task,On Hold,Major,,02.02.2026 13:16,,8.0,26PI1_2-Iron,
CORE-10120,3053991,10.12.2025 14:36,,Story,To Do,Trivial,,26.02.2026 09:33,,2.0,,
CORE-10118,3053973,10.12.2025 14:18,,Story,To Do,Trivial,,26.02.2026 09:23,,5.0,,
CORE-10117,3053944,10.12.2025 13:56,,Story,Open,Trivial,,10.12.2025 15:03,,,,
CORE-10116,3053928,10.12.2025 13:45,,Story,Development,Trivial,,26.02.2026 15:16,,8.0,,
CORE-10115,3053914,10.12.2025 13:32,,Story,To Do,Trivial,,26.02.2026 09:29,,2.0,,
CORE-10114,3053789,10.12.2025 13:22,,Story,To Do,Trivial,,26.02.2026 09:28,,2.0,,
CORE-10065,3044821,03.12.2025 10:45,,Task,Open,Major,,03.12.2025 10:58,,,,
CORE-10064,3044812,03.12.2025 10:33,,Task,Open,Major,,12.02.2026 12:21,,,,
CORE-10049,3040222,28.11.2025 13:15,,Task,Open,Major,,29.12.2025 09:38,,,,
CORE-10028,3032102,21.11.2025 09:07,,Task,Open,Major,,21.11.2025 09:10,,,,
CORE-9948,3019015,14.11.2025 14:47,,Task,To Do,Major,,09.02.2026 17:14,,,,
CORE-9770,2995038,03.11.2025 15:10,,Task,On Hold,Major,,27.01.2026 07:43,,,,
CORE-9638,2979092,22.10.2025 06:36,,Task,Open,Major,,02.01.2026 09:23,,,,
CORE-9571,2972764,16.10.2025 09:21,,Task,Testing,Major,,19.02.2026 08:23,,,,
CORE-9570,2972760,16.10.2025 09:17,,Task,Testing,Major,,19.02.2026 08:20,,,,
CORE-9569,2972755,16.10.2025 09:13,,Task,Testing,Major,,19.02.2026 08:23,,,,
CORE-9554,2969724,14.10.2025 11:28,,Story,Testing,Major,,19.02.2026 15:23,,5.0,26PI1_3-Iron,
CORE-9549,2969457,14.10.2025 10:39,,Story,On Hold,Major,,12.02.2026 13:12,,5.0,26PI1_3-Iron,
CORE-9547,2969603,14.10.2025 10:31,,Task,Refinement,Major,,10.11.2025 10:51,,,,
CORE-9534,2969350,14.10.2025 09:50,,Task,Refinement,Major,,10.11.2025 10:49,,,,
CORE-9533,2969346,14.10.2025 09:48,,Task,Refinement,Major,,14.10.2025 09:49,,,,
CORE-9499,2965721,09.10.2025 15:01,,Task,Refinement,Major,,14.10.2025 10:31,,,,
CORE-9489,2962580,08.10.2025 13:18,,Task,Refinement,Major,,10.11.2025 13:22,,,,
CORE-9454,2954980,02.10.2025 09:54,,Task,Refinement,Major,,10.11.2025 10:51,,,,
CORE-9434,2949067,26.09.2025 14:59,,Task,Refinement,Major,,09.10.2025 16:01,,,,
CORE-9433,2949065,26.09.2025 14:56,,Task,Refinement,Major,,14.10.2025 10:31,,,,
CORE-9432,2949063,26.09.2025 14:55,,Task,Refinement,Major,,09.10.2025 16:01,,,,
CORE-9431,2949062,26.09.2025 14:51,,Task,Refinement,Major,,10.10.2025 10:53,,,,
CORE-9430,2949056,26.09.2025 14:46,,Task,Refinement,Major,,07.10.2025 15:49,,,,
CORE-9429,2949054,26.09.2025 14:42,,Task,Refinement,Major,,10.11.2025 10:49,,,,
CORE-9428,2949053,26.09.2025 14:40,,Task,Refinement,Major,,10.11.2025 10:49,,,,
CORE-9427,2949126,26.09.2025 14:31,,Task,Open,Trivial,,26.09.2025 15:01,,,,
CORE-9404,2941497,22.09.2025 15:08,,Task,Open,Minor,,23.09.2025 11:23,,,,
CORE-9360,2928930,10.09.2025 14:38,,Task,On Hold,Major,,30.01.2026 09:47,,2.0,,
CORE-9359,2928924,10.09.2025 14:31,,Task,On Hold,Major,,21.01.2026 10:19,,2.0,,
CORE-9352,2923413,09.09.2025 13:13,,Task,Testing,Major,,25.02.2026 14:08,,,,
CORE-9345,2923052,09.09.2025 12:51,,Task,Testing,Major,,03.02.2026 13:41,,,,
CORE-9343,2923050,09.09.2025 12:50,,Task,Testing,Major,,25.02.2026 14:08,,,,
CORE-9342,2923049,09.09.2025 12:50,,Task,Testing,Major,,25.02.2026 14:08,,,,
CORE-9338,2916716,08.09.2025 10:23,,Task,Refinement,Major,,07.01.2026 14:12,,,,
CORE-9337,2916130,08.09.2025 08:58,,Task,Analysis,Major,,20.11.2025 11:58,,,,
