Type,Key,Summary,Resolution Date,Open,To Do,On Hold,Development,Ready for Testing,Testing,Refinement,Code review,Analysis,Business acceptance test,Done
,,Average time taken (from table),,22d 20h 48m,24d 23h 14m,39d 20h 0m,31d 14h 1m,11d 15h 50m,5d 19h 19m,29d 17h 32m,8d 20h 15m,3d 3h 16m,1d 0h 16m,29d 7h 3m
,CORE-10594,TIDY Index crebit.customer_limit_log,2/24/26,0d 0h 4m,,,0d 2h 10m,0d 20h 19m,0d 0h 4m,,,,,3d 4h 7m
,CORE-10590,LT: for arrest reservation end date should be set,2/23/26,0d 16h 13m,,,0d 0h 36m,2d 21h 31m,0d 0h 4m,,,,,4d 6h 1m
,CORE-10538,TIDY Add and use accounts attributes table in LDM,2/24/26,0d 0h 0m,0d 0h 54m,,8d 2h 43m,5d 18h 40m,,3d 18h 42m,,,,3d 4h 12m
,CORE-10531,GATE environment generated files must be written into the GATE filebarn,2/5/26,0d 0h 42m,,,,,0d 0h 1m,,,,,22d 1h 28m
,CORE-10529,Update iBank GATE to use GATE APIs,2/4/26,0d 0h 0m,0d 0h 13m,,,,,,,,,22d 21h 57m
,CORE-10528,Update STAR GATE to use GATE APIs,2/5/26,0d 0h 0m,0d 0h 6m,,,,,,0d 21h 13m,,,22d 0h 51m
,CORE-10520,API tests: Extend API tests and classes with vaults properties,2/12/26,0d 0h 0m,,,10d 1h 7m,,0d 0h 1m,,,,,14d 23h 1m
,CORE-10499,Onboard core-position-keeping-account-balance-api GATE to skyvault as an andromeda application/1,2/10/26,2d 6h 58m,,,5d 23h 39m,5d 20h 49m,,,,,,17d 0h 16m
,CORE-10479,Whitelisting Account api GATE,1/22/26,0d 0h 13m,0d 17h 26m,,,,,,0d 0h 37m,,,36d 2h 19m
,CORE-10472,Retention rule for crebit.eszr_ctpy_request_type is missing,2/2/26,6d 22h 20m,,,0d 2h 22m,1d 23h 49m,2d 20h 30m,,,,,25d 4h 17m
,CORE-10437,Changes in LT LIQ process transaction details,1/30/26,0d 0h 3m,0d 5h 50m,,0d 17h 48m,6d 20h 28m,,,0d 6h 46m,1d 21h 13m,,27d 23h 49m
,CORE-10416,TIDY Merge collection and deletion in one batch for local disposal,1/29/26,0d 0h 1m,,,8d 4h 52m,1d 21h 57m,,2d 17h 49m,,,,29d 1h 28m
,CORE-10411,TIDY Reduce execution cycles needed to delete engagement data,1/29/26,0d 0h 0m,3d 20h 2m,,4d 5h 30m,1d 19h 45m,,3d 4h 10m,,,,29d 1h 30m
,CORE-10402,Changes in LT for LIQ process related TM tasks,1/30/26,0d 1h 4m,7d 3h 3m,,0d 18h 37m,6d 21h 40m,,,0d 5h 34m,,,27d 23h 49m
