Type,Key,Summary,Resolution Date,Open,To Do,On Hold,Development,Ready for Testing,Analysis,Code review,Refinement,Testing,In Analysis,Done
,,Average time taken (from table),,4163.50h,434.84h,1022.89h,200.98h,815.23h,2539.44h,55.57h,2286.66h,661.09h,2775.38h,929.68h
,CORE-10810,TIDY merge CUT* tables in EE ARCH,,47.27h,,,,,,,,,,
,CORE-10809,Local disposal from LEEDU.TIC_REQ_DETAILS is slow,,49.85h,,,,,,,,,,
,CORE-10808,revisit heap size of applications and remove memory limits,,0.08h,66.42h,,,,,,,,,
,CORE-10805,TIDY Index CREBIT.KUUSALDO in LV ARCH,,70.38h,,,,,,,,,,
,CORE-10804,Auto test migration from Bitbucket to GitHub,,0.00h,72.40h,,,,,,,,,
,CORE-10803,DGF LV vulnerabilities,,25.35h,21.53h,,26.25h,,,,,,,
,CORE-10786,worker-acc-closure-helper error monitoring,,0.00h,19.67h,,,71.62h,,,,,,
,CORE-10785,update impact model for arrests service EE,,94.58h,,,,,,,,,,
,CORE-10776,TIDY Index table crebit.KO_SALDO to improve disposal process performance,,19.05h,,,0.28h,95.42h,,,,,,
,CORE-10775,TIDY Drop FK or index columns referencing to crebit.valarve,,28.08h,,,,,90.55h,,,,,
,CORE-10729,Replacement for Accounts API endpoint /v1/accounts/country/{countryCode}/balance/iso/accountid/,,69.67h,76.28h,,34.70h,,,9.15h,,,,
,CORE-10726,LV_DGF-3 Migrate DGF LV batch process to Andromeda application,,5.37h,47.83h,,,,,,138.95h,,,
,CORE-10717,Impact investigation - upcoming policy changes in AKS,,0.00h,212.65h,,,,,,,,,
,CORE-10708,LV_DGF Onboard core-deposit-guarantee-fund-api PROD to Skyvault as an Andromeda application,,0.05h,47.82h,,,,,,166.15h,,,
,CORE-10697,LV_DGF MSSQL Environment and Infrastructure setup for PROD (after 1st release),,47.57h,47.80h,,,,,,139.00h,,,
,CORE-10696,LV_DGF-2 MSSQL Environment and Infrastructure setup for TEST and GATE (after 1st release),,47.63h,48.27h,,,,,,138.57h,,,
,CORE-10695,LV_DGF-2 MSSQL Environment and Infrastructure setup for DEV (after 1st release),,47.83h,48.27h,,,,,,138.60h,,,
,CORE-10691,GraphQL -> REST,,239.87h,,,,,,,,,,
,CORE-10680,AccountsApi cleanup EE arrests checks after migration is done,,90.85h,,,,,,,264.35h,,,
,CORE-10678,AccountsApi openaccount in EE migrate arrest check,,89.97h,96.08h,,,,169.22h,,,,,
,CORE-10672,Star Account data - full PersonActiveArrestActs information,,0.35h,96.30h,,,,,,265.62h,,,
,CORE-10671,Star New customer agreement -full PersonActiveArrestActs information,,0.18h,96.30h,,,,,,266.02h,,,
,CORE-10670,Star Open account -show full PersonActiveArrestActs information,,0.13h,96.32h,,,,,,266.12h,,,
,CORE-10665,PERF.TESTs: GET statementTransactionsByAccountNumber test has response status code 500,,380.60h,,,,,,,,,,
,CORE-10646,EE send processed seizure requests answers to taitmisregister,,429.43h,,,,,,,,,,
,CORE-10645,worker-account-seizures-ee - Environment and Infrastructure setup for DEV and TEST,,429.92h,,,,,,,,,,
,CORE-10643,Core Report performance tests,,339.33h,92.93h,,,,,,,,,
,CORE-10619,EE Ibank create seizure requests when account opened with waiting arrests,,522.87h,,,,,,,,,,
,CORE-10618,EE handle seizure type WS when sending processed seizure requests answers,,501.43h,,,,,,,21.52h,,,
,CORE-10617,EE Star create seizure requests if account opened with waiting arrests,,523.03h,,,,,,,,,,
,CORE-10616,EE Forms teller changes for new seizure type,,263.52h,,,,,259.57h,,,,,
,CORE-10615,EE Star New customer agreement - create seizure requests,,523.12h,,,,,,,,,,
,CORE-10614,EE New seizure type and processing changes,,523.15h,,,,,,,,,,
,CORE-10613,core-account-seizures endpoint to create seizure requests,,261.45h,,,,,261.75h,,,,,
,CORE-10593,Corporate onboarding in Ibank - migrate PersonActiveArrestCheck,,312.17h,,,,,113.88h,,264.38h,,,
,CORE-10592,prepare PROD environment for core-account-seizures api,,425.62h,96.47h,,,,,,168.82h,,,
,CORE-10578,New wsdl to interact with taitmisregister,,94.35h,96.70h,,,,313.80h,,281.58h,,,
,CORE-10577,core-account-seizures - get PersonActiveArrestActs by regnr,,94.90h,96.50h,,,,313.53h,,281.93h,,,
,CORE-10576,core-account-seizures - get PersonActiveArrestActs by customer code,,94.50h,96.53h,,,,313.80h,,282.05h,,,
,CORE-10575,core-account-seizures - Environment and Infrastructure setup for DEV and TEST and GATE azure,,21.62h,96.77h,,,,,,668.53h,,,
,CORE-10574,Change DIT channel for account register reporting,,507.25h,94.98h,0.00h,,,,,188.97h,,,
,CORE-10573,W969 VAT : einvoices_PB (VAT part only) migration to GitHub,,786.18h,73.42h,,,,,,,,,
,CORE-10572,W666 Group Account: BCA_REPORTS-PB migration to GitHub,,786.25h,73.42h,,,,,,,,,
,CORE-10571,W709 Common Supportive: batch-dgf-lv_LV migration to GitHub,,786.28h,73.42h,,,,,,,,,
,CORE-10570,W665 Cash: Cash-order-processor_LT migration to GitHub,,786.30h,73.42h,,,,,,,,,
,CORE-10569,W709 Common Supportive: batch-tax_data-reporting-lt_LT migration to GitHub,,786.33h,73.42h,,,,,,,,,
,CORE-10568,W709 Common Supportive: roobert_PB migration to GitHub,,786.38h,73.42h,,,,,,,,,
,CORE-10567,W709 Common Supportive: batch-spis-file-loader_LT migration to GitHub,,786.40h,73.42h,,,,,,,,,
,CORE-10566,W663 Account: sof-statement-loader-LT migration to GitHub,,786.43h,73.42h,,,,,,,,,
,CORE-10565,W705 Seizure: dit-message-exchange_LV migration to GitHub,,786.45h,73.42h,,,,,,,,,
,CORE-10564,W705 Seizure: Eseizure-Process-Manager_EE migration to GitHub,,786.48h,1.85h,,71.57h,,,,,,,
,CORE-10563,W663 Account: close-accounts_PB migration to GitHub,,786.52h,73.42h,,,,,,,,,
,CORE-10562,W705 Seizure: batch-seizure-lv migration to GitHub,,839.50h,92.50h,,,,,,,,,
,CORE-10517,Migrate to Java Records,,786.63h,,,409.78h,,,,,,,
,CORE-10491,LT initial DEAD customer load for inactive account closure process,,1.07h,551.17h,,0.38h,,73.45h,,742.42h,,,
,CORE-10439,Add additional standard reminder in LT LIQ accounts closing process,,0.00h,502.57h,,7.33h,,405.13h,42.80h,477.57h,,,
,CORE-10424,TIDY Data restoration process implementation,,1248.42h,,217.82h,,,,,,,,
,CORE-10403,Setup in GATE Account service Kafka topics and connectors,,96.12h,,1463.35h,,,,,,,,
,CORE-10401,"Setup in GATE Tidy Kafka topic, stream, and sink connectors to listen GDM disposal events",,96.98h,,1463.35h,,,,,,,,
,CORE-10400,Update batch processes configuration in GATE,,22.92h,266.35h,74.15h,1197.57h,,,,,,,
,CORE-10393,[LV] DIT connection in TEST env. deadline 26.01.2026.,,0.00h,16.67h,,,,,,,1561.27h,,
,CORE-10391,TIDY Schedule execution of ACDMC and ACDMA runJobs,,1581.23h,,,,,,,,,,
,CORE-10357,TIDY Update LDAP server in Kafka sink connectors,,1794.73h,,,,,,,,,,
,CORE-10349,Onboard worker-ldm-events-publisher GATE to skyvault as an andromeda application,,332.40h,45.80h,1105.73h,311.77h,,,,,,,
,CORE-10333,Onboard worker-transaction-enricher GATE to skyvault as an andromeda application,,691.07h,,1104.70h,0.02h,,,,,,,
,CORE-10325,Onboard worker-acct-event-kafka-publisher GATE to skyvault as an andromeda application,,337.25h,,1124.85h,333.72h,,,,,,,
,CORE-10317,Onboard worker-acc-closure-helper GATE to skyvault as an andromeda application,,332.45h,1.42h,1105.75h,356.22h,,,,,,,
,CORE-10309,Onboard worker-offline-statement-generator GATE to skyvault as an andromeda application,,262.10h,,1124.87h,408.87h,,,,,,,
,CORE-10293,Onboard worker-stmt-req-reporting GATE to skyvault as an andromeda application,,240.22h,,1124.85h,430.83h,,,,,,,
,CORE-10237,Onboard core-offline-statements-api GATE to skyvault as an andromeda application,,240.80h,,1218.37h,287.63h,49.73h,,,,,,
,CORE-10229,Onboard statements-api GATE to skyvault as an andromeda application,,240.82h,,1124.88h,430.85h,,,,,,,
,CORE-10150,[API] Custom booking - GET custom booking transaction types,,2.88h,,,,,,,2203.63h,,,
,CORE-10149,[API] Custom booking - GET custom booking groups,,3.03h,,,,,,,2203.55h,,,
,CORE-10124,Forms Teller - Skyvault testing,2/25/26,815.67h,,0.02h,,385.97h,,,,694.05h,,504.55h
,CORE-10118,Close services and accounts for inactive accounts,,1196.85h,454.20h,,24.22h,26.10h,189.38h,48.22h,480.82h,,,
,CORE-10117,"LT -Create ability to check, if inactive customer is Guarantor for some loan.",,2057.38h,,362.82h,,,,,,,,
,CORE-10116,Do not close inactive account if exist stopping service,,1050.03h,10.60h,,420.12h,,270.03h,122.10h,547.47h,,,
,CORE-10065,TIDY Disposal of accounts closed before 01.01.2007.,,2591.40h,,,,,,,,,,
,CORE-10064,TIDY Implement retention rules for account types belonging to other areas,,2376.03h,,,,,215.57h,,,,,
,CORE-10049,Decrease data storage in statements.reporting_request,,2708.90h,,,,,,,,,,
,CORE-10028,Onboard core-cash-handling-api-baltic to skyvault as an andromeda application PROD,,2790.83h,90.18h,,,,,,,,,
,CORE-9948,Cleanup automated indexing solution,,477.05h,2566.32h,,,,,,,,,
,CORE-9770,Kafka connectivity test for databases in Skyvault,,389.52h,47.47h,1412.83h,,622.57h,,,,834.57h,,
,CORE-9655,Account API - Skyvault testing,2/10/26,241.60h,3.78h,,,243.60h,,,,334.13h,,2778.85h
,CORE-9638,earrest-components - Ivy to Artifactory,,3533.87h,70.68h,,,,,,,,,
,CORE-9571,Batch process - LT - Skyvault testing,,1322.40h,0.00h,282.78h,0.00h,1207.88h,,,,932.72h,,
,CORE-9570,Batch process - EE - Skyvault testing,,1322.45h,0.00h,282.83h,,1207.82h,0.00h,,,1004.72h,,
,CORE-9569,Batch process - LV & PB - Skyvault testing,,795.33h,47.53h,282.90h,,1585.55h,,,,1130.58h,,
,CORE-9549,Cash handling [API] - execute cash order with source and destination vaults,,742.40h,528.65h,884.95h,50.70h,,,,1585.77h,,,
,CORE-9534,LV_DGF MSSQL Environment and Infrastructure setup for PROD (pre-release),,0.62h,47.72h,,,,649.33h,,3095.63h,,,
,CORE-9533,LV_DGF-2 Update DGF automated tests to use MSSQL database,,0.00h,48.07h,,,,,,3745.27h,,,
,CORE-9499,LV_DGF Decomission DGF in LV_CORE,,64.95h,,,,,24.55h,,3818.60h,,,
,CORE-9434,LV_DGF Change data source to MSSQL database for Zabbix alerts,,0.00h,47.77h,,,,313.03h,,3859.37h,,,
,CORE-9432,LV_DGF-2 Change data source to MSSQL database for DGF API,,0.03h,48.08h,,,,285.33h,,3886.77h,,,
,CORE-9431,LV_DGF-1 data migration from Oracle LV_CORE DGF to MSSQL DGF_LV,,0.08h,47.68h,,,,264.93h,,3907.55h,,,
,CORE-9430,LV_DGF-1 MSSQL database versioning setup in Git for FlyWay,,0.18h,48.43h,,,,264.85h,,3906.88h,,,
,CORE-9429,LV_DGF-1 MSSQL Environment and Infrastructure setup for TEST and GATE (pre-release),,0.25h,48.53h,,,,1076.75h,,3094.90h,,,
,CORE-9428,LV_DGF-1 MSSQL Environment and Infrastructure setup for DEV (pre-release),,0.00h,48.77h,,,,406.38h,,3765.30h,,,
,CORE-9427,Transfer customer's pool-account funds to ledger,,4220.63h,,,,,,,,,,
,CORE-9404,Needs to show meaningful error on Close Account page in case technical error occurs,,4316.02h,,,,,,,,,,
,CORE-9360,Change STS host name for DIT in PROD env (after 01.12.2025.),,0.08h,1676.05h,2928.38h,,,,,,,,
,CORE-9359,Change STS host name for DIT in TEST env (after 30.10.2025.),,0.02h,1676.22h,2928.38h,,,,,,,,
,CORE-9357,IBANK - Arrests LV/EE (W705) - Skyvault testing,12/15/25,2775.20h,47.50h,,,755.80h,,,,,,1097.25h
,CORE-9356,IBANK - Deposits (W636) - Skyvault testing,2/4/26,2797.02h,47.40h,,,491.68h,,,,381.40h,,886.28h
,CORE-9355,IBANK - VAT(W969) - Skyvault testing,2/4/26,2629.62h,47.52h,165.15h,,716.08h,,,,43.83h,,1001.65h
,CORE-9354,IBANK - Pricing (W709) - Skyvault testing,2/4/26,1913.67h,47.57h,,,1209.67h,,,,406.75h,,1002.92h
,CORE-9352,IBANK - Statements (W663) - Skyvault testing,,1749.68h,47.30h,,,1228.98h,,,,1627.95h,,
,CORE-9351,IBANK - Accounts (W663) - Skyvault testing,2/4/26,1915.00h,47.45h,,,1604.52h,,,,27.23h,,987.70h
,CORE-9350,STAR - Arrests (W705) LT - Skyvault testing,2/26/26,1819.60h,47.58h,165.42h,,1633.98h,,,,531.05h,,456.60h
,CORE-9348,STAR - VAT(W969) - Skyvault testing,2/4/26,2625.08h,47.58h,165.18h,,740.53h,,,,50.30h,,977.53h
,CORE-9347,STAR - Pricing (W709) - Skyvault testing,2/5/26,1914.85h,47.60h,,,1260.12h,,,,399.35h,,960.35h
,CORE-9346,STAR - Custom booking (W709) - Skyvault testing,2/4/26,2605.47h,47.60h,,,795.57h,,,,193.30h,,964.32h
,CORE-9345,STAR - Cash service/register (W665) - Skyvault testing,3/4/26,1892.17h,47.62h,,,1655.95h,,,,693.20h,,293.33h
,CORE-9344,STAR - Deposits (W636) - Skyvault testing,2/4/26,2603.98h,47.60h,,,412.77h,,,,655.17h,,886.77h
,CORE-9343,STAR - Statements (W663) - Skyvault testing,3/4/26,2585.93h,47.62h,,,422.80h,,,,1332.57h,,217.35h
,CORE-9342,STAR - Accounts (W663) - Skyvault testing,,1914.83h,47.82h,287.05h,0.00h,1476.20h,,,,856.37h,,
,CORE-9338,TIDY ACCOUNTS_LDM data local retention rules,,0.00h,,,,,,,4656.75h,,,
,CORE-9337,TIDY Non-customer 1X account data deletion,,0.00h,,,,,4658.18h,,,,,
,CORE-9280,Core Reports - Skyvault testing,,1698.38h,1608.55h,842.45h,,479.82h,,,,192.48h,,
,CORE-9279,Interest compensation product: LT customer data in Estonian database after 2025-12-15,,1845.23h,1535.92h,1581.47h,1.67h,,,,,,,
,CORE-9228,TIDY Clean-up after one-time data cleaning,,24.78h,1628.17h,1466.30h,,,,,2210.27h,,,
,CORE-9227,TIDY One-time data cleaning in production,,24.80h,,3094.52h,,,,,2211.05h,,,
,CORE-9183,Local disposal for non customer (1X) account type,,2666.90h,,,,,3095.17h,,,,,
,CORE-9021,Refactoring: pdfbox-table instead of OpenPDF,,6958.10h,,,,,,,,,,
,CORE-8884,LV_DGF-1 Migrate DGF schema from Oracle to MSSQL DGF_LV database,,3191.65h,48.35h,,,,487.98h,,3906.43h,,,
,CORE-8702,LV Seizure improvements to extract Account data using API,,238.60h,4338.95h,2323.53h,198.18h,,1753.22h,,,,,
,CORE-8700,Close-account batch cleanup after all old processes moving to new,,333.67h,,,,,8523.60h,,,,,
,CORE-8437,Make checks based on sub-step from crebit.cls_substep table instead of hardcoding in code,,0.00h,10507.27h,,,,,,,,,
,CORE-8390,LV_DGF Implement data retention in MSSQL (TIDY),,4319.77h,1519.13h,,,,1354.70h,,3794.88h,,,
,CORE-8238,NAB paper letters monitoring,,11829.17h,,,,,,,,,,
,CORE-8127,Properly handle REST call exceptions in close-accounts,,12283.42h,,,,,,,,,,
,CORE-7956,"""Remove NAB reminders"" to java",,13224.97h,,,,,,,,,,
,CORE-7944,EE arests checking while new account opening,,0.00h,96.25h,,,,3333.62h,,9863.42h,,,
,CORE-7700,Create a reminder record based on response from agreement-orch,,15171.80h,,,,,,,,,,
,CORE-7655,Improvements for agreement-orch-api,,1.27h,,,,,15548.68h,,,,,
,CORE-7578,Monitoring of disposal tasks that fail to execute,,1944.92h,,,,,,,14012.00h,,,
,CORE-7496,Order request filter and sort options,,0.00h,,,,,16579.38h,,,,,
,CORE-7469,Consider to improve EE statements calculation when no transactions for long period.,,16851.22h,,,,,,,,,,
,CORE-7390,Cleanup not used service checks and closures.,,8490.03h,,,,,8857.33h,,,,,
,CORE-7120,Ibank message templates (NC)(A),,18478.78h,326.95h,,10.88h,,1199.55h,,,,,
,CORE-7119,Ibank message (CloseAccount)(A),,18405.92h,327.05h,,10.90h,,1344.32h,,,,,
,CORE-6551,AMA not change by transactions related EasySaver account,,24814.58h,,,,,,,,,,
,CORE-6512,EE-Create in Star-Product Report - Varad arestitud,,25125.33h,,,,,,,,,,
,CORE-6477,Core reports in EE,,18837.17h,,,,,6693.62h,,,,,
,CORE-6433,EE Remove unneeded code after switching all inquiries to DW,,16806.67h,,,,,,,8779.93h,,,
,CORE-6378,Move restrictions from one bailiff to another,,25945.65h,,,,,,,,,,
,CORE-6370,"""Covering claims in other account"" transaction on statement",,21959.27h,,,,,4012.00h,,,,,
,CORE-8341,crebit.u_aadress usage in CREBIT.CALCULATE_NAB_REPORT,,20086.68h,,,,,,,5906.00h,,,
,CORE-5976,PB: Check service limitation for account opening online,,21417.17h,,,,,11154.47h,,0.03h,,,
,CORE-4685,LV seizure: Changes for on-hold,,48433.42h,,,,,134.18h,,,,,
,CORE-2300,LV Restriction merge on double customer merge,,63020.13h,3001.67h,,,,,,,,,
,CORE-2299,LV Assign restriction to/remove restriction from multiple customers,,61749.28h,693.35h,,,,3507.18h,,,,,
,CORE-2185,LV Calculate Response amount,,61056.85h,,,,,3065.50h,,9.43h,,2775.38h,
