Type,Key,Summary,Resolution Date,Open,Investigation,Ready for Refinement,Backlog,Reopened,On Hold,Refined,In Development,Ready for test,In Testing,Waiting for acceptance,In Progress,Done,Abandoned,,,,
,,Average time taken (from table),,776.54h,382.42h,363.74h,371.12h,613.38h,112.16h,128.13h,201.00h,89.64h,76.05h,19.74h,247.72h,4639.95h,5008.35h,,,,
,CALLS-1623,Create Configuration Items for Zabbix application hosts,,139.05h,,,,,,,,,,,,,,,,,
,CALLS-1622,FLM - Spring Boot 4 Migration,,142.32h,,,,,,,,,,,,,,,,,
,CALLS-1621,update Kafka topic that provides payment order status updates to Batch Handler,,0.00h,186.45h,1.17h,,,,,,,,,,,,,,,
,CALLS-1618,Update change type for DLT reprocess job in spacetime management,,192.17h,,,,,,,,,,,,,,,,,
,CALLS-1616,SQL Server health alerting and notifications,,90.77h,48.12h,0.02h,,,,144.88h,,,,,,,,,,,
,CALLS-1615,Add SQL Server metrics to Grafana dashboards,,121.77h,,47.87h,,,,24.77h,120.37h,,,,,,,,,,
,CALLS-1614,Switch on alerts for prod,,330.20h,,,,,,,,,,,,,,,,,
,CALLS-1613,Adjust the DMN table to ensure proper ISO code resolution when setting the CANC code,4/24/26,147.87h,,0.00h,,,,0.00h,67.40h,0.00h,0.00h,,,120.72h,,,,,
,CALLS-1611,Setup JenkinsFileProd for applications,,359.88h,,,,,,,,,,,,,,,,,
,CALLS-1608,[FLM] Incorrect reverting of Daily/Monthy limits,,0.00h,,433.97h,,,,0.00h,,0.00h,22.43h,,,,,,,,
,CALLS-1607,[FLM] Include checkIfHeaderFinalized for delegate SendMessagePOValidationResultFromNotHappyPath,4/15/26,0.35h,,18.35h,,,,0.00h,5.82h,66.42h,52.53h,,,333.02h,,,,,
,CALLS-1606,[FLM] Combine multiple log lines into one for Validate and Enrich delegate,4/9/26,0.00h,,1.93h,,,,0.00h,17.20h,0.30h,0.02h,,,480.28h,,,,,
,CALLS-1605,"Include default user, group into initial DB installation",4/8/26,0.02h,,0.00h,,,,0.00h,3.13h,0.00h,0.00h,,,503.65h,,,,,
,CALLS-1604,[FLM] Some Camunda Engine log entries in Grafana do not have trace_id,4/13/26,18.20h,,6.17h,,,,0.00h,112.90h,3.10h,0.00h,,,381.78h,,,,,
,CALLS-1600,Alert when 'Unauthorized' error appears in admin app,,671.90h,,,,,,,,,,,,,,,,,
,CALLS-1599,Monitor API calls,4/1/26,0.87h,,,,,,,,,,,,,671.97h,,,,
,CALLS-1598,Add alerts for certificate expiration,4/16/26,340.33h,,0.00h,,,,0.00h,18.57h,0.00h,0.00h,,,314.03h,,,,,
,CALLS-1597,Monitor technical duplicates at entry point,4/1/26,1.38h,,,,,,,,,,,,,671.97h,,,,
,CALLS-1596,[FLM] Slow performance of FLM in Azure calling APIs,,0.23h,,4.63h,,,,441.63h,,76.68h,150.35h,,,,,,,,
,CALLS-1595,Preparation for production readiness meeting with Andromeda team,,673.65h,,,,,,,,,,,,,,,,,
,CALLS-1594,1. [BH] Update the Payment Order Kafka topic,4/2/26,24.97h,,,,,,,,,,,,,648.85h,,,,
,CALLS-1593,[Investigate] Implement Log storing policy for Flow Manager,,673.85h,,,,,,,,,,,,,,,,,
,CALLS-1601,CVUL0074714,4/21/26,383.03h,120.00h,0.00h,,,,,,,,,,194.45h,,,,,
,CALLS-1591,[FLM] Slow performance of FLM entrypoint in Azure reading from kafka,,1.90h,,27.57h,,,,668.97h,,,,,,,,,,,
,CALLS-1590,[FLM | Use gateway limits] Internal sever error,,0.10h,,332.55h,,,,332.93h,,0.00h,51.45h,,,,,,,,
