Type,Key,Summary,Resolution Date,Open,Ready for Refinement,Investigation,Reopened,To Do,Backlog,Refined,In Development,Ready for test,In Testing,Blocked,ON-HOLD testing,Selected for Development,In Progress,Waiting for acceptance,Done,Abandoned
,,Average time taken (from table),,342.65h,361.38h,292.68h,93.06h,215.88h,764.46h,72.16h,181.04h,202.62h,100.39h,492.29h,345.46h,929.71h,1775.97h,1.11h,3196.02h,127.19h
,PAYME-1819,Create new DB user,,0.30h,,,,,,,,,,,,,,,,
,PAYME-1817,In LoP the filter is not filtering correctly,3/19/26,0.02h,2.87h,,,,,0.00h,3.55h,16.63h,1.87h,,,,,,99.07h,
Production bug,PAYME-1816,More than one row with the given identifier was found,3/19/26,0.37h,0.00h,0.00h,,,,0.00h,38.93h,0.00h,2.80h,,,,,,98.32h,
,PAYME-1815,nginx to haproxy,3/19/26,0.03h,0.00h,,,,,0.00h,42.02h,0.00h,0.00h,,,,,,99.55h,
,PAYME-1818,FPO payment from SGW created incorrectly,3/20/26,0.93h,42.62h,,,,,0.00h,24.60h,0.10h,0.28h,,,,,,73.90h,
,PAYME-1814,Sorting issue in list of payments when vop is performed manualy.,,0.17h,2.38h,,,,,122.87h,21.08h,,,,,,,,,
,PAYME-1812,[DB] Create Performance DB Script to put all INTRAGROUP payments in VOP AQ,,165.27h,,,,,,,,,,,,,,,,
,PAYME-1811,[DB] Improve DB Script to Set VOP_STATUS for Existing Payments to run only for payments created starting from 12.03.26,3/16/26,0.15h,0.00h,,,,,0.15h,2.95h,1.08h,0.70h,,,,,,165.45h,
,PAYME-1810,[Smartform] 2 or more payments in the same session has the same request vop id,3/16/26,0.00h,64.02h,,,,,0.00h,3.95h,0.62h,1.08h,,,,,,166.08h,
,PAYME-1807,[Smartform] 2 or more payments in the same session has the same request vop id,3/13/26,0.00h,0.00h,,0.20h,,,0.00h,23.68h,3.20h,0.27h,,,,,,235.82h,
Production bug,PAYME-1806,VOP issues after 3rd same payment gets payment processing stuck,3/16/26,28.28h,0.00h,,67.95h,,,0.00h,,0.58h,1.48h,,,,,,165.68h,
,PAYME-1803,[ibank] [Audit Trail] Logging in List Of Payments,,209.10h,0.00h,,,,,28.62h,70.92h,,,,,,,,,
,PAYME-1802,[ibank] [Audit Trail] Logging in Salary form and Mass payments,,135.28h,0.00h,,,,,0.00h,35.85h,137.50h,,,,,,,,
,PAYME-1801,[ibank] [Audit Trail] Logging in Smartform,,48.55h,0.00h,,,,,0.00h,109.65h,150.43h,,,,,,,,
,PAYME-1800,[improvement] - Screenshots for failing tests,3/12/26,72.12h,,,,,,,,,,,,,,,263.38h,
,PAYME-1799,Create GET Swift Agreement ID endpoint,,238.08h,,169.72h,,,,,,,,,,,,,,
,PAYME-1798,Prepare for Andromeda Production meeting,,408.30h,,,,,,,,,,,,,,,,
,PAYME-1797,Create core-swift-agreement-manager application,,409.22h,,,,,,,,,,,,,,,,
Production bug,PAYME-1808,[iBank] Unable to update Transaction Costs Paid By value for defined payments,3/18/26,187.38h,0.00h,,,,,0.00h,118.28h,0.33h,3.72h,,,,,,120.58h,
Production bug,PAYME-1805,[iBank LT/EE] Transaction Costs Paid By field is not prefilled when creating an international defined payment,3/17/26,162.17h,0.00h,,15.48h,,,0.00h,31.18h,71.48h,1.07h,,,,,,149.03h,
,PAYME-1804,[iBank] Allow to perform verification if the payment is in VoP status 'Not Possible',,167.40h,117.37h,,,,,0.00h,48.67h,118.83h,,,,,,,,
,PAYME-1793,7.2. [BH] Update Payment APIs to support Swift Pain.002 fields,,1.20h,458.82h,,,,,,,,,,,,,,,
,PAYME-1792,Ensure possibility to perform VOP also after first signature is given,,0.00h,483.00h,,,,,,,,,,,,,,,
,PAYME-1791,Change connection to Sterling from IP to DNS,3/9/26,0.38h,0.00h,,,,,0.00h,28.52h,114.75h,1.90h,,,,,,339.05h,
,PAYME-1788,CdtrAcct other ID should be presented as other Id and not as IBAN in pain.002.001.03,3/16/26,0.77h,0.00h,0.00h,0.50h,,,0.00h,2.37h,17.50h,28.58h,282.02h,,,,,170.38h,0.00h
,PAYME-1787,Missing <StsRsnInf> block for rejected batch in pain.002.001.03 / 09,3/3/26,0.05h,0.00h,,,,,0.00h,2.13h,18.92h,0.05h,,,,,,481.43h,0.00h
,PAYME-1786,VOP status is not updated In List of Payments,3/4/26,0.00h,1.02h,,,,,0.00h,26.18h,16.38h,2.85h,,,,,,456.82h,
,PAYME-1785,7.3. [BH] Create Payment based on Swift Pain.001,,48.40h,,457.72h,,,,,,,,,,,,,,
,PAYME-1783,6.2. [BH] Call ISO Exchange to update the Local System Reference,,31.15h,477.00h,,,,,,,,,,,,,,,
,PAYME-1781,8. [BH] Update the Payment Order Kafka topic,,137.80h,,437.37h,,,,,,,,,,,,,,
,PAYME-1779,[iBank] VOP for signed payments is performed,3/4/26,0.58h,6.53h,0.00h,0.18h,,,0.00h,78.77h,19.38h,16.67h,,,,,,457.42h,
,PAYME-1778,[iBank] [list of payments] Cannot Confirm and sign 100 payments,,0.13h,0.73h,,,,,0.00h,596.10h,,,,,,,,,
,PAYME-1777,7.2. [BH] Update File APIs to support Swift Pain.001 fields,,121.68h,458.70h,17.55h,,,,,,,,,,,,,,
,PAYME-1776,7.1. [BH DB] Update BH DB to support Swift Pain.001 specific data,,121.00h,476.95h,,,,,,,,,,,,,,,
,PAYME-1775,Manual Vop fails in List of Payments with big amount of payments,3/17/26,19.12h,0.00h,,,,,1.40h,122.15h,306.35h,6.78h,,,,,,142.85h,
,PAYME-1772,Update handling of end point report/status-report if it returns 0 payments,,0.00h,187.55h,,,,,0.00h,1.95h,0.00h,,,430.97h,,,,,
,PAYME-1771,unique_error_codes should be NULL if status report is created for batch without errors,3/2/26,23.75h,0.00h,,,,,0.00h,91.55h,2.37h,0.43h,1.02h,,,,,502.07h,0.00h
,PAYME-1770,If payment file is rejected then no_of_failed_payments should be the same value as total_number_of_trx,3/2/26,115.63h,0.00h,,,,,0.07h,,1.68h,0.52h,0.75h,,,,,502.67h,0.00h
,PAYME-1769,Incorrect vop popup in list of payments when 1st user already performed vop and signed a payment,3/4/26,0.55h,17.92h,,0.20h,,,0.00h,42.43h,73.25h,33.93h,,,,,,453.03h,
,PAYME-1768,It should be 0 instead of NULL in outgoing kafka topic and DB bhandler.status_report table,3/3/26,115.83h,0.00h,,0.00h,,,0.00h,1.73h,18.20h,2.27h,,,,,,483.40h,0.00h
,PAYME-1767,In pain.002.001.03 where payment is successful field <OrgnlCtrlSum> is missing,3/2/26,115.88h,0.00h,,,,,0.00h,1.00h,3.35h,0.05h,,,,,,501.48h,0.00h
,PAYME-1766,In status report pain.002.001.03 field <CreDtTm> should be the time when actually xml was formed for status report,3/2/26,17.97h,0.00h,,,,,0.00h,29.65h,3.85h,0.10h,69.40h,,,,,500.92h,0.00h
,PAYME-1765,Group and payment information statuses are calculated incorrectly in pain.002.001.03,3/3/26,16.88h,0.00h,0.00h,,,,0.00h,30.92h,22.72h,0.38h,69.40h,,,,,481.77h,0.00h
Production bug,PAYME-1764,[MT940] too many separator symbols in message gets NAK,,0.00h,622.47h,,,,,,,,,,,,,,,
,PAYME-1763,Error code instead of description is provided in pain.002,3/3/26,0.05h,0.00h,0.00h,,,,0.50h,47.72h,22.25h,0.45h,69.40h,,,,,482.17h,0.00h
,PAYME-1760,Missing label for Mass/Salary payments,2/27/26,0.00h,22.03h,,,,,0.00h,0.00h,5.60h,17.73h,,,,,,580.37h,
,PAYME-1759,Incorrect vop status is shown when payment inside mass payment is edited,2/27/26,0.20h,17.80h,,,,,0.00h,14.35h,10.48h,29.42h,,,,,,574.83h,
,PAYME-1758,Remove hint in case of corrected Intrabank payment,3/17/26,0.00h,309.22h,,,,,0.00h,75.50h,91.73h,29.73h,,,,,,141.70h,
Production bug,PAYME-1757,Log VOP errors as WARN instead of ERROR,2/24/26,0.00h,0.05h,,,,,0.00h,1.53h,1.23h,0.00h,,,,,,646.13h,
,PAYME-1755,Exact dates for Info message for customer before and after the script is performed,2/25/26,0.00h,17.50h,,,,,0.00h,4.17h,22.32h,0.58h,,,,,,625.17h,
,PAYME-1754,VOP status is updated for Intrabank payments,2/25/26,0.00h,2.00h,,,,,0.00h,21.65h,18.90h,6.75h,,,,,,621.23h,
,PAYME-1752,6.1. [BH] Convert Swift pain.001 to Java object,,196.87h,,477.07h,,,,,,,,,,,,,,
