Type,Key,Summary,Resolution Date,Open,Investigation,Ready for Refinement,Reopened,On Hold,To Do,Backlog,ON-HOLD testing,In Testing,Refined,In Development,Ready for test,Blocked,Selected for Development,In Progress,Waiting for acceptance,Done,Abandoned
,,Average time taken (from table),,210.21h,289.92h,342.44h,70.11h,339.07h,107.95h,764.46h,119.54h,69.18h,55.43h,129.31h,205.66h,279.42h,929.71h,1775.97h,89.45h,3820.15h,105.97h
,PAYME-1887,Implement Java delegate to call Swift Instant limit endpoint,,45.17h,,,,,,,,,,,,,,,,,
,PAYME-1886,"[PODM] Update ""Duplicity check"" API to consume UETR",,2.98h,23.93h,18.25h,,,,,,,,,,,,,,,
,PAYME-1885,"[FLM] Update the ""Duplicity check"" delegate to send UETR to the PODM",,2.98h,23.33h,18.85h,,,,,,,,,,,,,,,
,PAYME-1884,[FLM] Implement a Java delegate to call the new Swift Agreement endpoint,,2.82h,42.37h,,,,,,,,,,,,,,,,
Bug Sub-Task,PAYME-1883,TEST,4/27/26,0.00h,,,,,,,0.00h,0.00h,,,,,,,,47.62h,
,PAYME-1882,TEST,4/27/26,0.00h,,,,,,,0.00h,0.00h,,,,,,,,47.65h,
,PAYME-1879,Update pvc/config in AKS for payment services,4/24/26,0.00h,,0.00h,,,,,,0.00h,0.00h,1.63h,0.00h,,,,,116.18h,
,PAYME-1877,TEST subtask,,0.00h,,0.00h,,,,,,119.15h,0.00h,,0.00h,,,,,,
Production bug,PAYME-1874,Ibank: customer can't open payment via statement and payment history,4/23/26,0.00h,,0.08h,,,,,,0.05h,0.00h,3.30h,0.00h,,,,,141.00h,
,PAYME-1873,Update events-common in BPAY applications,4/29/26,0.07h,,0.00h,,,,,,21.93h,2.70h,2.53h,142.20h,,,,,0.35h,
,PAYME-1870,[Automation] Cover VOP functionality in List of payments,,0.00h,,0.00h,,,,,,120.07h,0.00h,,0.00h,194.45h,,,,,
,PAYME-1872,[IBank]: Tech error while trying to sign payment from SGW from list of payments,,18.37h,,122.72h,,,,,,,0.00h,47.67h,45.37h,97.70h,,,,,
,PAYME-1868,Warning messages are doubled in LT (signed and not payments),4/15/26,0.00h,,101.47h,,,,,,2.95h,15.12h,25.57h,0.38h,,,,,334.38h,
,PAYME-1865,Export iso-x logs to loki in production,4/9/26,0.00h,0.00h,0.00h,,,,,,0.23h,0.00h,0.55h,0.00h,,,,,481.35h,
,PAYME-1860,Renew payment services prod certificate,4/9/26,0.00h,,0.00h,,,,,,0.23h,0.00h,47.95h,0.00h,,,,,481.35h,
,PAYME-1858,Setup RBAC roles for PROD environment,4/15/26,0.02h,,0.00h,,,,,150.02h,,0.00h,141.72h,,,,,,331.27h,0.00h
,PAYME-1857,Setup RBAC roles for TEST environment,,0.02h,,0.00h,,,,,,,0.00h,141.72h,,150.02h,,,,331.27h,
,PAYME-1856,Setup RBAC roles for DEV environment,,0.02h,,0.00h,,,,,,,0.00h,141.72h,,150.02h,,,,331.27h,
,PAYME-1855,[DB] Create a script to detect and resend payments that are stuck too long in INPRG VOP_STATUS to AQ,4/28/26,0.03h,265.80h,0.00h,,,,,,163.97h,0.00h,190.15h,1.20h,,,,,26.23h,
,PAYME-1846,[TESTING] Clean-up for mass payment page,4/15/26,68.45h,,0.00h,,,,,,144.27h,4.55h,,145.90h,,,,,330.10h,0.00h
,PAYME-1845,[TESTING] Clean-up for import of payment page (importing not mass payments),4/15/26,68.43h,,0.00h,,,,,,196.38h,4.58h,,93.23h,,,,,330.65h,
,PAYME-1844,[TESTING] Clean-up for import of payments page (importing mass payments),4/15/26,68.47h,,0.00h,,,,,,144.23h,4.58h,,145.88h,,,,,330.12h,0.00h
,PAYME-1843,[TESTING] Clean-up for list of payments,4/10/26,68.45h,,0.00h,,,,,,75.45h,4.58h,,94.02h,,,,,450.82h,0.00h
,PAYME-1842,[TESTING] Clean-up for smart form (when saving into list of payments),4/15/26,68.43h,,0.00h,,,,,,192.75h,0.00h,4.57h,93.27h,,,,,334.27h,
,PAYME-1841,[DB CORE] Remove sysglobal VOP_FOR_LIST_OF_PAYMENTS,4/24/26,379.50h,,0.00h,,,,,,0.05h,0.00h,2.03h,192.38h,,,,,119.37h,
,PAYME-1847,THE-REST-LIST - GO,4/13/26,316.53h,,,,,,,,,,,,,,,,380.48h,
,PAYME-1851,CVUL0075195 - GO,4/9/26,216.85h,,,,,,,,,,,,,,,,480.20h,
,PAYME-1852,CVUL0075195 - GO,4/9/26,216.82h,,,,,,,,,,,,,,,,480.23h,
,PAYME-1850,CVUL0075164 - GO,4/9/26,216.38h,,,,,,,,,,,,,,,,480.67h,
,PAYME-1848,CVUL0074734 - GO,4/9/26,190.42h,,0.00h,,,,,,,0.00h,25.93h,,,,,,480.70h,0.00h
Production bug,PAYME-1839,[ibank] [Audit Trail] Logging in List Of Payments,4/13/26,0.03h,,67.83h,44.08h,,,,,6.08h,0.00h,37.32h,181.62h,,,,,380.00h,
,PAYME-1837,Publish payment.orders Kafka topic to FLM for Swift Pain.001,,1.23h,0.02h,717.47h,,,,,,,,,,,,,,,
,PAYME-1835,"""Select all"" button is broken, when ""Not possible"" payments are filtered out",4/10/26,0.00h,,0.00h,,,,,,101.33h,2.50h,118.00h,113.80h,,,,,452.65h,
Production bug,PAYME-1840,Payment import: can't sign payments from payment import page with double acceptance,,3.35h,2.35h,141.68h,,,,,,49.20h,6.45h,444.10h,140.22h,3.33h,,,,,
,PAYME-1834,"Foreign payments regression testing on Skyvaut in EE, LV,LT [2026-03/04 GATE]",,0.00h,,0.00h,,,,,,,0.00h,,814.05h,,,,,,
,PAYME-1833,Update Payment file with additional information,,47.92h,65.60h,720.17h,,,,,,,,,,,,,,,
,PAYME-1832,"Update status for Payment, Batch and File",,16.42h,0.00h,315.75h,,,,,,,501.65h,,,,,,,,
,PAYME-1831,Create Batch for Swift Pain.001,,16.52h,0.00h,315.67h,,,,,,,501.60h,0.05h,,,,,,,
,PAYME-1830,Create payment file,,16.62h,,315.63h,,,,,,,379.47h,5.10h,72.60h,44.47h,,,,,
,PAYME-1829,ISO Exchange clean-up from expired xsd's and ISOX_2025_RELEASE_START,4/8/26,0.00h,,0.00h,,,,,,5.20h,0.00h,138.47h,213.33h,,,,,501.05h,
,PAYME-1819,1.2. Create new DB user,,25.12h,0.23h,0.00h,,,,,,,859.75h,,,,,,,,
,PAYME-1817,In LoP the filter is not filtering correctly,3/19/26,0.02h,,2.87h,,,,,,1.87h,0.00h,3.55h,16.63h,,,,,983.87h,
Production bug,PAYME-1816,More than one row with the given identifier was found,3/19/26,0.37h,0.00h,0.00h,,,,,,2.80h,0.00h,38.93h,0.00h,,,,,983.12h,
,PAYME-1815,nginx to haproxy,3/19/26,0.03h,,0.00h,,,,,,0.00h,0.00h,42.02h,0.00h,,,,,984.35h,
,PAYME-1818,FPO payment from SGW created incorrectly,3/20/26,0.93h,,42.62h,,,,,,0.28h,0.00h,24.60h,0.10h,,,,,958.70h,
,PAYME-1812,[DB] Create Performance DB Script to put all INTRAGROUP payments in VOP AQ,4/23/26,184.58h,552.37h,0.00h,,,,,,48.18h,122.28h,0.00h,0.58h,,,,,142.02h,
,PAYME-1811,[DB] Improve DB Script to Set VOP_STATUS for Existing Payments to run only for payments created starting from 12.03.26,3/16/26,0.15h,,0.00h,,,,,,0.70h,0.15h,2.95h,1.08h,,,,,1050.25h,
,PAYME-1810,[Smartform] 2 or more payments in the same session has the same request vop id,3/16/26,0.00h,,64.02h,,,,,,1.08h,0.00h,3.95h,0.62h,,,,,1050.88h,
,PAYME-1807,[Smartform] 2 or more payments in the same session has the same request vop id,3/13/26,0.00h,,0.00h,0.20h,,,,,0.27h,0.00h,23.68h,3.20h,,,,,1120.63h,
Production bug,PAYME-1806,VOP issues after 3rd same payment gets payment processing stuck,3/16/26,28.28h,,0.00h,67.95h,,,,,1.48h,0.00h,,0.58h,,,,,1050.48h,
,PAYME-1803,[ibank] [Audit Trail] Logging in List Of Payments,3/30/26,209.10h,,0.00h,,,,,,69.88h,28.62h,74.32h,94.57h,,,,,716.93h,
,PAYME-1802,[ibank] [Audit Trail] Logging in Salary form and Mass payments,3/27/26,135.28h,,0.00h,,,,,,0.27h,0.00h,35.85h,235.20h,,,,,786.82h,
,PAYME-1801,[ibank] [Audit Trail] Logging in Smartform,3/30/26,48.55h,,0.00h,65.30h,,,,,2.77h,0.00h,109.87h,246.27h,,,,,720.68h,
,PAYME-1800,[improvement] - Screenshots for failing tests,3/12/26,72.12h,,,,,,,,,,,,,,,,1148.18h,
,PAYME-1828,[DB] Create events for pain.002 processing,4/24/26,1027.48h,,0.00h,0.00h,,,,,0.07h,0.00h,0.48h,74.33h,,,,,119.47h,
,PAYME-1822,S2.2 - [DB] Create table CREDIT_TRANSFER_INITIATION,4/13/26,192.18h,0.00h,527.25h,,,,,,94.13h,0.00h,30.40h,0.00h,,,,,381.43h,
,PAYME-1799,REG 2. Create POST Search Swift Agreement endpoint,,238.08h,351.85h,0.00h,,,,,,,702.57h,0.08h,,,,,,,
Production bug,PAYME-1808,[iBank] Unable to update Transaction Costs Paid By value for defined payments,3/18/26,187.38h,,0.00h,,,,,,3.72h,0.00h,118.28h,0.33h,,,,,1005.40h,
Production bug,PAYME-1805,[iBank LT/EE] Transaction Costs Paid By field is not prefilled when creating an international defined payment,3/17/26,162.17h,,0.00h,15.48h,,,,,1.07h,0.00h,31.18h,71.48h,,,,,1033.83h,
,PAYME-1804,[iBank] Allow to perform verification if the payment is in VoP status 'Not Possible',3/30/26,167.40h,,117.37h,,,,,,59.93h,33.05h,102.42h,142.97h,,,,,713.93h,
,PAYME-1793,S2.4 - 7.2. [BH] Update Payment APIs to support Swift Pain.002 fields,,1.20h,,1126.07h,,,,,,,49.13h,0.98h,25.85h,141.55h,,,,,
,PAYME-1791,Change connection to Sterling from IP to DNS,3/9/26,0.38h,,0.00h,,,,,,1.90h,0.00h,28.52h,114.75h,,,,,1223.85h,
,PAYME-1825,REG [ISO Exchange] Implement CBPR+ outgoing pain.002 support,4/28/26,336.23h,,550.83h,,,,,,25.70h,0.00h,28.52h,409.35h,,,,,18.83h,
,PAYME-1826,S2.3 - REG [ISO Exchange] Implement SCORE+ outgoing pain.002 support,4/27/26,336.33h,,649.35h,,,,,,118.08h,3.98h,96.27h,119.97h,,,,,45.57h,
,PAYME-1786,VOP status is not updated In List of Payments,3/4/26,0.00h,,1.02h,,,,,,2.85h,0.00h,26.18h,16.38h,,,,,1341.62h,
,PAYME-1785,Create Payment Order based on Swift Pain.001,,48.40h,555.50h,285.35h,,,,,,,501.65h,,,,,,,,
,PAYME-1783,S2.4 - 6.2. [BH] Call ISO Exchange to update the Local System Reference,,31.15h,,501.72h,,,,,0.00h,,810.07h,26.47h,23.38h,0.13h,,,,,
,PAYME-1781,1. [BH] Update the Payment Order Kafka topic,4/9/26,137.80h,648.07h,0.00h,,,,,,5.18h,24.37h,25.02h,143.17h,,,,,476.32h,
,PAYME-1779,[iBank] VOP for signed payments is performed,3/4/26,0.58h,0.00h,6.53h,0.18h,,,,,16.67h,0.00h,78.77h,19.38h,,,,,1342.22h,
,PAYME-1777,S2.4 - 7.2. [BH] Update File APIs to support Swift Pain.001 fields,,121.68h,17.55h,1125.95h,,,,,,,47.23h,2.12h,25.85h,142.32h,,,,,
,PAYME-1776,S2.4 - 7.1. [BH DB] Update BH DB to support Swift Pain.001 specific data,,121.00h,,479.77h,,,,,,,664.42h,47.18h,170.35h,,,,,,
,PAYME-1775,Manual Vop fails in List of Payments with big amount of payments,3/17/26,19.12h,,0.00h,,,,,,6.78h,1.40h,122.15h,306.35h,,,,,1027.65h,
,PAYME-1823,S2.3 - REG [ISO Exchange] Implement SCORE+ pain.001 support,4/22/26,456.18h,,581.67h,,,,,,4.82h,0.00h,167.95h,114.50h,,,,,164.30h,
,PAYME-1827,REG [ISO Exchange] Implement changes in CBPR+ pain.001 support,4/27/26,456.20h,,388.87h,,,,,,72.23h,0.00h,162.17h,364.52h,,,,,45.45h,
,PAYME-1769,Incorrect vop popup in list of payments when 1st user already performed vop and signed a payment,3/4/26,0.55h,,17.92h,0.20h,,,,,33.93h,0.00h,42.43h,73.25h,,,,,1337.85h,
Production bug,PAYME-1764,[MT940] too many separator symbols in message gets NAK,,0.00h,,1507.27h,,,,,,,,,,,,,,,
,PAYME-1760,Missing label for Mass/Salary payments,2/27/26,0.00h,,22.03h,,,,,,17.73h,0.00h,0.00h,5.60h,,,,,1465.17h,
,PAYME-1759,Incorrect vop status is shown when payment inside mass payment is edited,2/27/26,0.20h,,17.80h,,,,,,29.42h,0.00h,14.35h,10.48h,,,,,1459.63h,
,PAYME-1758,Remove hint in case of corrected Intrabank payment,3/17/26,0.00h,,309.22h,,,,,,29.73h,0.00h,75.50h,91.73h,,,,,1026.50h,
Production bug,PAYME-1757,Log VOP errors as WARN instead of ERROR,2/24/26,0.00h,,0.05h,,,,,,0.00h,0.00h,1.53h,1.23h,,,,,1530.93h,
,PAYME-1859,3.1 [BH] Consume the new Kafka topic in Batch Handler for Swift ISO pain.001 flow,,74.93h,,0.00h,,,,,,,140.70h,,,149.40h,,,,331.25h,838.90h
,PAYME-1755,Exact dates for Info message for customer before and after the script is performed,2/25/26,0.00h,,17.50h,,,,,,0.58h,0.00h,4.17h,22.32h,,,,,1509.98h,
,PAYME-1754,VOP status is updated for Intrabank payments,2/25/26,0.00h,,2.00h,,,,,,6.75h,0.00h,21.65h,18.90h,,,,,1506.03h,
,PAYME-1752,Convert Swift pain.001 to Payment order data object,,196.87h,575.47h,284.75h,,,,,,,457.02h,44.62h,,,,,,,
,PAYME-1747,"[iBank] Implement VoP audit Trail logging in List Of payments, Salary payment & Smartform",3/30/26,0.85h,286.95h,358.25h,66.25h,,,,,3.73h,0.00h,103.07h,94.45h,,,,,716.92h,
,PAYME-1746,[Ibank] LT: Mass payments opened for editing - payment data is not prefilled,2/23/26,0.03h,,3.27h,,,,,,67.73h,0.00h,,0.00h,,,,,1561.18h,
,PAYME-1743,[iBank] Mass payments - in list of payments need some changes with INPRG payments,3/19/26,0.12h,,429.00h,,,,,,22.73h,0.00h,198.75h,18.00h,,,,,985.03h,
,PAYME-1751,Incorrect total amount displayed in consolidated payment view on signing page,2/25/26,27.35h,,16.10h,,,,,,26.63h,0.00h,57.60h,14.92h,,,,,1511.30h,
,PAYME-1742,Get Swift pain.001 message,,292.42h,,502.52h,,,,,,,743.00h,72.40h,0.20h,44.47h,,,,,
,PAYME-1737,2. [BH] Create a new Kafka topic schema for Swift pain.001 support,4/29/26,293.73h,306.15h,197.03h,,,,,,22.78h,209.53h,169.27h,306.20h,150.02h,,,,2.27h,
,PAYME-1824,REG [ISO Exchange] Implement the SCORE+ int_service_code,4/24/26,639.70h,,557.33h,,,,,,0.00h,0.00h,192.27h,163.38h,,,,,120.23h,
,PAYME-1735,S2.3 - 2. [ISO Exchange] Add Batch Handler as a target local system,4/27/26,309.68h,41.68h,461.50h,,,,,,4.23h,240.87h,114.02h,456.07h,,,,,44.87h,
,PAYME-1734,S2.5 - REG 4. [BH] Swift pain.001 process implementation,,309.75h,672.00h,0.00h,,,,,,,691.22h,,,,,,,,
,PAYME-1733,S2.4 - REG 3. [ISO Exchange] Publish the new Kafka topic for Swift pain.001 message,,309.78h,503.22h,0.00h,,,,,,2.25h,286.53h,384.13h,187.07h,,,,,,
,PAYME-1732,[iBank] - List of payments - an error occurs when trying to forward prepared payment without signing rights,2/23/26,18.40h,,0.00h,,,,,,2.10h,0.00h,95.77h,0.00h,,,,,1558.60h,
,PAYME-1731,Issue in case close match in list of payments when beneficiary name was changed with not allowed characters (not national characters),2/20/26,0.50h,,18.92h,,,,,,26.33h,0.00h,1.00h,19.83h,,,,,1632.42h,
,PAYME-1729,"[iBank] mass payments, when VOP status is null can't be signed",2/19/26,0.17h,,45.98h,,,,,,1.38h,0.00h,,3.48h,,,,,1651.98h,
,PAYME-1724,"Refresh button does not dissapear, even the VOP is finalized",2/27/26,318.47h,,0.00h,,,,,,19.58h,0.00h,41.85h,5.30h,,,,,1462.25h,
Bug Sub-Task,PAYME-1723,SGW: CRE payments get NOVOP,2/23/26,41.05h,,0.00h,,,,,,0.00h,0.00h,89.20h,163.47h,,,,,1554.40h,
,PAYME-1718,Not correct status visible in Mass/Salary payment,2/18/26,0.05h,,0.00h,,,,,,24.53h,66.50h,121.22h,27.08h,,,,,1649.42h,0.95h
,PAYME-1717,[iBank] List of payments is very slow with 100 payments and not loading with 300+ payments,2/24/26,0.25h,0.00h,0.00h,,,,,,1.25h,0.00h,341.50h,93.38h,,,,,1532.05h,
,PAYME-1820,REG New SEPA country -SERBIA (as of 3rd of May 2026),4/24/26,1338.45h,,0.00h,,,,,,101.02h,0.03h,267.58h,162.80h,,,,,117.75h,
,PAYME-1716,VOP for mass payments is not updated correctly,3/3/26,51.92h,,0.00h,298.07h,,,,,8.77h,0.00h,259.32h,34.37h,,,,,1362.58h,
Bug Sub-Task,PAYME-1715,Mass payments have incorrect VOP status after editing,2/20/26,25.33h,0.00h,0.00h,237.03h,,,,,8.88h,0.00h,0.52h,114.42h,,,,,1628.98h,
Production bug,PAYME-1714,[DB CORE] FPO - 13537 error code problem,,0.00h,2038.07h,,,,,,,,,,,,,,,,
,PAYME-1713,"LT country ""confirm button"" translations for received VoP response: ""Close match"" (CMTC)",2/17/26,71.10h,,0.00h,,,,,,175.93h,0.00h,75.08h,20.87h,,,,,1697.33h,
,PAYME-1869,[iBank] Clear the green info message when manual VoP button is pressed,4/27/26,1702.73h,,0.00h,0.68h,,,,,2.38h,0.00h,101.55h,188.50h,,,,,44.63h,
,PAYME-1821,Clean-up iBank not to check Sysglobal VOP_FOR_LIST_OF_PAYMENTS,4/16/26,0.00h,,1177.52h,,,,,,161.08h,0.00h,161.77h,243.45h,,,,,315.07h,
,PAYME-1794,REG Refactor code to use enum names instead of db values for labels,4/15/26,769.80h,,0.00h,66.10h,,,,,129.35h,334.43h,427.03h,2.25h,,,,,330.50h,
,PAYME-1712,Production green field migration,4/2/26,0.00h,,0.00h,,,,,73.57h,0.00h,0.00h,471.77h,0.00h,866.92h,,,,649.73h,
Bug Sub-Task,PAYME-1711,"Translations for pop-up, status after adding new payment if vop is performed and forward button loading icon issues",2/16/26,142.45h,,0.00h,,,,,,144.15h,29.08h,21.00h,66.98h,,,,,1724.92h,
,PAYME-1710,"Not possible to perform VOP manually, if in List of Payments exist payments with different VOP statuses",2/10/26,0.00h,0.00h,74.60h,,,,,,31.73h,0.90h,89.63h,72.08h,,,,,1865.43h,
,PAYME-1709,[iBank] Warnings are not refreshed while opening imported payment,2/9/26,74.12h,,0.00h,0.95h,,,,,5.07h,0.68h,48.83h,116.73h,,,,,1891.38h,
,PAYME-1700,Testing Bank defined (only LV) - [iBank] Display VoP statuses in List of Payments for different payment types based on in channel code,2/2/26,0.02h,,0.00h,,,,,,0.02h,0.00h,,139.73h,,,,,2064.55h,
,PAYME-1699,S1.2 - Testing E-invoice - [iBank] Display VoP statuses in List of Payments for different payment types based on in channel code,2/2/26,0.02h,0.00h,0.00h,,,,,,95.37h,0.00h,,50.25h,,,,,2058.70h,
,PAYME-1698,S1.3 [TEST] Mobile bank - [iBank] Display VoP statuses in List of Payments for different payment types based on in channel code,2/10/26,0.02h,,67.97h,,,,,,38.32h,0.05h,79.78h,146.03h,,,,,1872.15h,
,PAYME-1697,s1.3 - Testing Open Banking - [iBank] Display VoP statuses in List of Payments for different payment types based on in channel code,2/2/26,0.03h,,0.00h,,,,,,3.02h,0.00h,,140.32h,,,,,2060.98h,
,PAYME-1708,CVUL0075152,3/6/26,50.62h,0.00h,0.00h,,,,,503.32h,29.20h,0.00h,92.20h,241.83h,,,,,1291.30h,
,PAYME-1707,CVUL0075053,3/6/26,46.97h,2.57h,0.00h,,,,,503.32h,29.20h,0.00h,93.30h,241.83h,,,,,1291.30h,
,PAYME-1795,Update hint for VOP status,3/18/26,0.02h,,1051.43h,,,,,,49.57h,17.40h,10.77h,91.72h,,,,,1004.65h,
,PAYME-1796,REG Improve the Filter possibility for Verification of Payee column,4/10/26,0.48h,,1217.93h,,,,,137.37h,77.15h,0.00h,171.65h,168.77h,,,,,452.67h,
,PAYME-1690,"EE country incorrect ""Continue anyway"" button translations for received VoP response: ""Verification check is not possible"" (NOAP)",2/2/26,0.05h,,0.00h,,,,,,2.03h,71.05h,76.85h,86.18h,,,,,2062.92h,
,PAYME-1689,"EE country incorrect ""Back"" button translations for received VoP response: „No match”",2/2/26,0.03h,,0.00h,,,,,,1.65h,143.10h,5.28h,86.17h,,,,,2063.30h,
,PAYME-1688,"[iBank] After uploading file with 1000 payments, it cannot be opened in File import",2/24/26,95.02h,,191.37h,,,,,0.00h,196.62h,0.00h,189.92h,95.07h,,,,,1532.02h,
,PAYME-1687,"[iBank] - VOP status is not updated, when payment is updated from list of payments",2/19/26,0.10h,68.38h,96.55h,185.45h,,,,,62.58h,0.00h,106.93h,124.75h,,,,,1655.98h,
,PAYME-1686,"LV country incorrect LAT translation in case customer presses button ""go back"" when received VoP response: ""Verification check is not possible"" (NOAP)",2/2/26,0.05h,,0.00h,,,,,,1.47h,76.97h,76.85h,86.18h,,,,,2063.50h,
,PAYME-1685,"LV country incorrect ""Continue anyway"" button translations for received VoP response: ""Verification check is not possible"" (NOAP)",2/2/26,0.15h,,0.00h,,,,,,1.38h,148.50h,5.32h,86.15h,,,,,2063.58h,
,PAYME-1684,"LV country incorrect ""Continue anyway"" button translations for received VoP response: „No match”",2/2/26,18.48h,,0.00h,,,,,,1.27h,76.95h,76.87h,86.17h,,,,,2063.68h,
,PAYME-1683,[iBank] Imported MASS payments - when user try to open 2nd time and sign - incorrect error is shown,1/29/26,1.78h,,0.00h,,,,,,144.80h,15.77h,6.30h,1.00h,,,,,2154.10h,
,PAYME-1682,"LT country translations for received VoP response: ""Verification check is not possible"" (NOAP)",2/2/26,0.02h,,0.00h,,,,,,1.12h,99.82h,76.88h,86.15h,,,,,2063.85h,
