Type,Key,Summary,Resolution Date,Open,Ready for Refinement,Investigation,Reopened,On Hold,Backlog,To Do,Refined,In Development,Ready for test,In Testing,In Progress,Waiting for acceptance,Done,Abandoned,,,
,,Average time taken (from table),,223.55h,912.77h,242.93h,180.88h,127.86h,671.26h,2.50h,85.14h,119.06h,123.48h,73.60h,911.58h,50.52h,4199.21h,4399.09h,,,
,EASYPAY-1569,"[DB] Create archiving process for CREBIT.PER_MK_DOK table in LV, EE",,0.28h,0.00h,,,,,,0.02h,20.65h,,,,,,,,,
,EASYPAY-1568,"[FLM | Validate and Enrich ] SEPCO, FPO debtor id saved for SGW import (LV, EE)",,4.37h,0.47h,,,,,,0.12h,21.83h,,,,,,,,,
,EASYPAY-1567,Switch Instant payments to Gate environment 1 day prior to performance testing,,27.08h,,,,,,,,,,,,,,,,,
,EASYPAY-1566,"Payments Performance Testing in Skyvaut in EE, LV, LT [29.04.2026]",,1.25h,0.00h,,,,,,24.22h,,0.00h,1.58h,,,,,,,
,EASYPAY-1565,[FLM | Validate and Enrich] Creditor unstructured address from USTRD_ADDRESS_END,,0.00h,1.62h,19.33h,,,,,90.62h,5.80h,21.83h,,,,,,,,
,EASYPAY-1564,BH: update creation of status report- use outbox instead of Kafka,,22.93h,116.90h,,,,,,,,,,,,,,,,
,EASYPAY-1563,BH: update sending to fraud screening - use outbox instead of Kafka,,22.97h,116.90h,,,,,,,,,,,,,,,,
,EASYPAY-1562,BH: update initiation of fraud screening - use outbox instead of Kafka,,20.80h,119.17h,,,,,,,,,,,,,,,,
,EASYPAY-1561,BH: update initiation of status report - use outbox instead of Kafka,,20.80h,119.17h,,,,,,,,,,,,,,,,
,EASYPAY-1560,BH: update how status report is published to Kafka,,0.08h,121.27h,,,,,,18.87h,,,,,,,,,,
,EASYPAY-1559,BH: update how fraud screening result is published to Kafka,,0.00h,140.75h,,,,,,,,,,,,,,,,
,EASYPAY-1558,BH: update where data is taken from for API call to OFD broker,,0.02h,140.95h,,,,,,,,,,,,,,,,
,EASYPAY-1557,[DB] prefill customer_id for GIRO agreements,,165.55h,,,,,,,,,,,,,,,,,
