Type,Key,Summary,Resolution Date,Open,Ready for Refinement,On Hold,In Development,Ready for test,Refined,Done,Abandoned
,,Average time taken (from table),,370.67h,11323.56h,753.19h,204.98h,0.37h,75.06h,291.32h,669.48h
,ORION-38,W880 Account Alias PB: migrate Mongo DB to Oracle DB,,45.03h,,,,,,,
,ORION-37,Spring Boot 4 Migration: W880 Account Alias PB,,142.08h,,,,,,,
,ORION-36,Spring Boot 4 Migration: W981 Baltic Payment event streaming,,142.13h,,,,,,,
,ORION-35,agreement data request,,145.27h,,,,,,,
,ORION-34,W981 Baltic Payment event streaming: migrate Kafka pipelines to GHA,,0.08h,22.43h,,288.62h,,,,
,ORION-27,TIDY database refactoring according to newly approved changes for application,,481.07h,,,,,,,
,ORION-13,PLACEHOLDER - Commitments to previous teams,4/7/26,41.30h,,,121.38h,,,528.83h,
,ORION-7,placeholder - rename worker to CORE,,481.87h,,,211.20h,,,,
,ORION-4,CVUL0135982,4/27/26,649.42h,,,2.27h,,,45.55h,
,ORION-25,Merge worker and data manager into one application,4/21/26,0.02h,263.60h,,334.52h,0.37h,,191.77h,
,ORION-26,Merge tracker and data manager into one application,4/21/26,70.77h,0.13h,,597.98h,0.37h,,191.77h,
,ORION-33,Greenfield migration: W880 Account Alias PB,,0.32h,287.97h,,191.45h,,75.07h,,669.47h
,ORION-32,Greenfield migration: W981 Baltic Payment event streaming,4/17/26,0.30h,94.00h,,96.65h,,75.05h,288.77h,669.48h
,ORION-23,[DB] Fill Oracle DAY0 tables with Bank Defined Payments agreements,,2618.47h,12957.82h,,,,,,
,ORION-9,"Firewall access from Application space to Database (EE, LT, LV)",,0.00h,15601.27h,,,,,,
,ORION-8,[JAVA] Add Oracle Database connection information to config file (application.cfg),4/8/26,22.57h,15099.37h,,0.73h,,,501.23h,
,ORION-10,[JAVA] Add Accounts_API to config file (application.cfg),,864.13h,14760.13h,,,,,,
,ORION-6,[JAVA] Config file (application.cfg),,22.95h,15601.35h,,,,,,
,ORION-21,DAY0 Agreement Summary Loading process,,1200.57h,14424.12h,,,,,,
,ORION-20,[JAVA] Implement a mechanisms that will prevent unexpected application crashes,,884.75h,14759.97h,,,,,,
,ORION-19,[JAVA] Track incoming requests from MDM to Payments,,1317.13h,14424.03h,,,,,,
,ORION-18,[JAVA] Payment products agreement summary data transfer to MDM,,0.32h,14424.03h,1319.20h,,,,,
,ORION-17,[JAVA] Track Changes in Accounts for CORE_ID,,52.15h,15765.00h,,,,,,
,ORION-12,MDM team depency - [JAVA] Develop Data Enrichment mechanism,,3.55h,16486.98h,187.17h,,,,,
,ORION-11,Access Accounts API Onboarding,,0.00h,16679.50h,,,,,,
,ORION-24,[DB] Fill Oracle DAY0 tables with GIRO Beneficiary Agreement product data,,410.65h,16747.98h,,,,,,
,ORION-22,[DB] Fill Oracle DAY0 tables with Standing Orders product agreement data,,411.12h,16747.98h,,,,,,
