Type,Key,Summary,Resolution Date,Open,NEW!,Investigation,Ready for Refinement,On Hold,Waiting for Answer,In Progress,Code review,Ready for Testing,In Testing,Pending,Canceled,Done,,,,,,
,,Average time taken (from table),,976.10h,32.18h,82.05h,2990.53h,72.02h,386.92h,167.56h,44.03h,29.02h,40.70h,271.90h,3291.96h,4149.23h,,,,,,
,PAYLYNX-1450,Unify data structure in core db for agreement tables,,1.20h,,,,,,,,,,,,,,,,,,
,PAYLYNX-1449,E-Invoice - drop usage of EMAIL schema and it's references,,20.13h,,,,,,,,,,,,,,,,,,
,PAYLYNX-1448,E-Invoice - investigate and remove grants to EMAIL schema,,20.28h,,,,,,,,,,,,,,,,,,
,PAYLYNX-1447,Upgrade to SPRING BOOT 4 remaining projects,,20.40h,,,,,,,,,,,,,,,,,,
,PAYLYNX-1446,SkyVault performance testing on 29 April,,24.98h,,,,,,,,,,,,,,,,,,
,PAYLYNX-1445,Report for PW,,,20.72h,,,,,,,,,,20.10h,,,,,,,
,PAYLYNX-1444,V009 or API?,,,0.37h,,,,46.65h,,,,,,,,,,,,,
,PAYLYNX-1443,MB Core: Upgrade to SPRING BOOT 4,,49.75h,,,,,,,,,,,,,,,,,,
,PAYLYNX-1442,test,,87.48h,,,,,,,,,,,,,,,,,,
,PAYLYNX-1441,Payers code migration (E.invoice),,66.77h,,,,,,50.80h,,,,,,,,,,,,
,PAYLYNX-1440,Payment settlement takes too long and the payment type is wrong,,,4.73h,,,,,,,,,,,117.27h,,,,,,
,PAYLYNX-1439,MB: Remove warning messages,,0.00h,,,,,,92.98h,20.28h,26.77h,,,,,,,,,,
Spike,PAYLYNX-1438,Double ckicks propagated though system introduce processing overhead,,140.42h,,,,,,,,,,,,,,,,,,
Spike,PAYLYNX-1437,Proposals how to improve robots alerts,4/24/26,3.07h,,,,,,17.77h,,,,,,122.75h,,,,,,
,PAYLYNX-1436,Disable logread for Prod,4/24/26,0.92h,,,,,,0.00h,24.87h,0.00h,0.00h,,,119.82h,,,,,,
,PAYLYNX-1435,Fix NFS permission conflict across P01/P02 clusters during Greenfield Migration,,146.28h,,,,,,,,,,,,,,,,,,
,PAYLYNX-1434,ATTOLLO_cannot forward customers to checkout,,,26.30h,0.02h,,,0.72h,,,,,,,139.40h,,,,,,
,PAYLYNX-1433,MB EXP: Shop -> Notifications -> Run Query button not working,,1.67h,,,,,,0.00h,2.45h,0.37h,0.00h,,,165.63h,,,,,,
,PAYLYNX-1432,MB EXP: Broken UI,,188.43h,,,,,,,,,,,,,,,,,,
,PAYLYNX-1431,EPS_Increase timeout for BL payment status callbacks,,,72.58h,,,,,,,,,,,116.25h,,,,,,
,PAYLYNX-1430,E-invoice notifications to customers,,,139.18h,50.90h,,,,,,,,,,,,,,,,
,PAYLYNX-1429,E-invoice (Core): Check Kafka configuration for test and dev,,193.62h,,,,,,,,,,,,,,,,,,
,PAYLYNX-1428,Automate incident report numbers,,213.90h,,,,,,,,,,,,,,,,,,
,PAYLYNX-1427,Need to check version of auth service usage,,,0.55h,3.32h,,,,,,,,,,283.38h,,,,,,
,PAYLYNX-1426,"Ibank: On E-invoice Seller agreement concluding page, channel options from dropdown is not visible",4/20/26,70.37h,,,,,,,,,,,,217.50h,,,,,,
,PAYLYNX-1425,Investigate and fix Daily MBBL Regression tests,,72.50h,,,,,,217.53h,,,,,,,,,,,,
,PAYLYNX-1424,MIG_BALTIC_PIS montly fee,,,0.10h,2.08h,,,,,,,,,,305.60h,,,,,,
Production bug,PAYLYNX-1423,MB CORE + Warden missing hikari pool dashboard,4/22/26,125.30h,,,,,,13.70h,5.98h,1.25h,0.02h,,,169.78h,,,,,,
,PAYLYNX-1422,MBBL: payment status handling improvement,,330.57h,,,,,,,,,,,,,,,,,,
