Payment_ProgramEpic_TiM
Payment ProgramEpic TiM;;;;;;;;;;;;;;;;;
Type;Key;Summary;Resolution Date;Funnel;Backlog;Think it;Idea Box Business;Reviewing;Analysing;Implementing;Choose It;Initial discovery;Delivery;Cancelled;Done;Funnel to Done;Implementing to Done
;;Average time taken (from table);;6555.09h;797.20h;3604.12h;2610.46h;2022.64h;3320.16h;6125.15h;1204.50h;2942.14h;4357.67h;2909.15h;5595.82h;16571.74h;6665.04h
Program Epic;VDE19-456;Payment systems and SWIFT annual changes 2026;;697.23h;73.28h;;;958.77h;264.58h;;;;;;;1993.87h;0.00h
Program Epic;VDE19-412;[IPR] Enhance payment origination channels with VerificationOfPayee(VoP) - Phase 2 (after 5th of October);10.10.2025;20.97h;;;;;;;;;;4107.17h;;4128.13h;4107.17h
Program Epic;VDE19-360;[IPR] Implement an Instant payments feature for processing Future-dated transactions;25.03.2026;6029.85h;;;;;;;;;;115.67h;;6145.52h;115.67h
Program Epic;VDE19-282;Cases/Investigation Management;29.01.2025;4.57h;;;;;;;;;;10196.05h;;10200.62h;10196.05h
Program Epic;VDE19-270;Payment system annual changes/EURO1 & T2 regular releases;14.01.2026;1872.78h;624.40h;;;1460.80h;502.55h;4251.98h;;;;;1798.12h;8712.52h;4251.98h
Program Epic;VDE19-31;[IPR] Introduce SEPA Instant payments offering in STAR App;;;;0.88h;;3835.78h;8857.88h;;193.47h;;;;;12888.02h;193.47h
Program Epic;VDE19-13;[IPR] Temporary block Instant Payments for customers under alert investigation;25.06.2025;;0.00h;188.97h;;2108.92h;1468.15h;2394.92h;504.52h;;;;6673.67h;6665.47h;2899.43h
Program Epic;VDE19-14;[IPR] SEPA Rulebook changes 2025;05.01.2026;2660.15h;0.00h;745.67h;;2502.00h;740.55h;4808.07h;;;;;2006.87h;11456.43h;4808.07h
Program Epic;VDE19-8;[Dyn] [TPH] Cases/Investigation Management;;8806.47h;;3028.32h;;3863.22h;;;;;;;;15698.00h;0.00h
Program Epic;VDE19-16;[Dyn] [TPH] [Outgoing payments] New Foreign Payments System implementation;;;;2995.45h;;2085.17h;10560.52h;;505.00h;;;;;16146.13h;505.00h
Program Epic;VDE19-20;[BC&CM] Payments micro front-end (FDP);16.12.2025;10194.17h;;3845.48h;;;;;;;;2499.52h;;16539.17h;2499.52h
Program Epic;VDE19-19;[BC&CM] Payments Core & Experience apps;16.12.2025;10194.15h;;3845.50h;;;;;;;;2499.52h;;16539.17h;2499.52h
Program Epic;VDE19-1;[IPR] Payment Flow Manager;;;0.00h;1543.45h;;;6312.67h;6381.00h;1678.78h;671.25h;;;;16587.15h;8731.03h
Program Epic;VDE19-22;[IPR] Payment core applications;;1008.03h;0.12h;3845.53h;;930.72h;414.67h;10340.12h;;;;;;16539.18h;10340.12h
Program Epic;VDE19-26;[BC&CM] Move out reporting. Close Core reports (Payments);16.12.2025;10194.18h;;3845.57h;;;;;;;;2499.48h;;16539.23h;2499.48h
