Issue key,Issue id,Created,Resolved,Status,Priority,Due Date,Updated,Sprint,Custom field (Story Points),Issue Type,Resolution
IA-3238,2120899,01.11.2023 11:51,,Analysing,Major,,29.04.2026 05:12,,,Portfolio Epic,
IA-3890,2686581,25.02.2025 15:45,,Reviewing,Major,,29.04.2026 05:05,,,Portfolio Epic,
IA-2650,1737273,01.11.2022 16:12,,Implementing,Major,,29.04.2026 05:03,,,Portfolio Epic,
IA-3284,2167162,06.12.2023 17:40,,Implementing,Major,,29.04.2026 05:03,,,Portfolio Epic,
IA-3079,2054659,10.09.2023 18:46,,Implementing,Major,,30.04.2026 05:01,,,Portfolio Epic,
IA-3072,2054652,10.09.2023 11:44,,Implementing,Major,,30.04.2026 05:08,,,Portfolio Epic,
IA-4151,2958786,06.10.2025 13:23,,Implementing,Major,,30.04.2026 05:01,,,Portfolio Epic,
IA-4337,3012948,12.11.2025 15:45,,Funnel,Major,,29.04.2026 05:06,,,Portfolio Epic,
IA-3891,2686585,25.02.2025 15:46,,Funnel,Major,,29.04.2026 05:06,,,Portfolio Epic,
IA-4270,3003403,07.11.2025 14:38,,Funnel,Major,,29.04.2026 05:06,,,Portfolio Epic,
IA-3736,2549204,07.11.2024 18:56,,Funnel,Major,,29.04.2026 05:12,,,Portfolio Epic,
IA-3081,2054661,10.09.2023 18:56,21.04.2026 14:16,Done,Major,,23.04.2026 14:34,,,Portfolio Epic,Done
