Issue key,Issue id,Parent id,Created,Resolved,Status,Priority,Due Date,Updated,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Story Points),Issue Type,Resolution
SMARTPAY-748,2953120,,30.09.2025 15:42,10.10.2025 12:59,Abandoned,Minor,,10.10.2025 12:59,,,,,,,,,,,,,Bug,Won't Do
SMARTPAY-717,2882154,,12.08.2025 09:39,03.10.2025 08:18,Done,Major,,09.02.2026 15:51,BPAY PI 2025:4.2-BPAY - SmartP,,,,,,,,,,,3.0,Story,Done
SMARTPAY-738,2943808,,23.09.2025 15:58,25.09.2025 14:46,Done,Major,,25.09.2025 14:46,BPAY PI 2025:4.1-BPAY - SmartP,BPAY PI 2025:4.2-BPAY - SmartP,,,,,,,,,,5.0,Bug,Done
SMARTPAY-466,2627515,,16.01.2025 16:20,24.01.2025 09:31,Done,Major,,24.01.2025 13:11,BPAY PI 2024:5.3-BPAY - SmartP,BPAY PI 2024:5.IP-BPAY - Smart,,,,,,,,,,5.0,Story,Done
SMARTPAY-458,2615513,,08.01.2025 12:58,07.03.2025 13:48,Done,Major,,29.12.2025 15:56,BPAY PI 2024:5.3-BPAY - SmartP,BPAY PI 2024:5.IP-BPAY - Smart,BPAY PI 2025:1.1-BPAY - SmartP,BPAY PI 2025:1.2-BPAY - SmartP,BPAY PI 2025:1.3-BPAY - SmartP,,,,,,,5.0,Production bug,Done
SMARTPAY-23,2224247,,05.02.2024 08:39,02.01.2025 10:18,Done,Major,,29.12.2025 15:56,BPAY PI 2024:5.2-BPAY - SmartP,BPAY PI 2024:5.3-BPAY - SmartP,,,,,,,,,,3.0,Production bug,Done
SMARTPAY-327,2385617,,17.06.2024 09:13,18.09.2024 08:30,Done,Major,,19.09.2024 10:10,BPAY PI2024:2.Innovation-BPAY,BPAY PI 2024:4.2-BPAY - SmartP,,,,,,,,,,5.0,Story,Done
SMARTPAY-509,2695147,,05.03.2025 06:16,11.04.2025 08:12,Done,Major,,09.02.2026 15:50,BPAY PI 2025:1.4-BPAY - SmartP,BPAY PI 2025:1.IP-BPAY - Smart,BPAY PI 2025:2.1-BPAY - SmartP,,,,,,,,,1.0,Task,Done
SMARTPAY-518,2710500,,17.03.2025 06:12,11.04.2025 15:35,Done,Major,,17.04.2025 09:25,BPAY PI 2025:1.4-BPAY - SmartP,BPAY PI 2025:1.IP-BPAY - Smart,BPAY PI 2025:2.1-BPAY - SmartP,,,,,,,,,1.0,Story,Done
SMARTPAY-529,2727858,,28.03.2025 13:20,15.04.2025 12:45,Done,Major,,17.04.2025 09:25,BPAY PI 2025:1.IP-BPAY - Smart,BPAY PI 2025:2.1-BPAY - SmartP,,,,,,,,,,1.0,Story,Done
SMARTPAY-543,2736255,,03.04.2025 15:17,16.04.2025 11:46,Done,Major,,17.04.2025 09:25,BPAY PI 2025:1.IP-BPAY - Smart,BPAY PI 2025:2.1-BPAY - SmartP,,,,,,,,,,5.0,Bug,Done
SMARTPAY-480,2636314,,23.01.2025 08:32,17.04.2025 08:40,Done,Major,,17.04.2025 12:50,BPAY PI 2025:1.2-BPAY - SmartP,BPAY PI 2025:1.3-BPAY - SmartP,BPAY PI 2025:1.4-BPAY - SmartP,BPAY PI 2025:1.IP-BPAY - Smart,BPAY PI 2025:2.1-BPAY - SmartP,,,,,,,1.0,Story,Done
SMARTPAY-481,2636311,,23.01.2025 08:30,17.04.2025 08:58,Done,Major,,17.04.2025 12:50,BPAY PI 2025:1.3-BPAY - SmartP,BPAY PI 2025:1.4-BPAY - SmartP,BPAY PI 2025:1.IP-BPAY - Smart,BPAY PI 2025:2.1-BPAY - SmartP,,,,,,,,1.0,Story,Done
SMARTPAY-553,2750142,,09.04.2025 08:22,15.04.2025 06:14,Done,Major,,29.12.2025 15:52,BPAY PI 2025:2.1-BPAY - SmartP,,,,,,,,,,,3.0,Story,Done
SMARTPAY-470,2634310,,22.01.2025 08:20,17.04.2025 14:57,Done,Major,,28.04.2025 08:31,BPAY PI 2025:1.2-BPAY - SmartP,BPAY PI 2025:1.3-BPAY - SmartP,BPAY PI 2025:1.4-BPAY - SmartP,BPAY PI 2025:1.IP-BPAY - Smart,BPAY PI 2025:2.1-BPAY - SmartP,,,,,,,3.0,Story,Done
SMARTPAY-546,2682110,,20.02.2025 13:34,17.04.2025 15:35,Done,Major,,13.05.2025 15:41,BPAY PI 2025:2.1-BPAY - SmartP,,,,,,,,,,,1.0,Story,Done
SMARTPAY-566,2762519,,17.04.2025 14:29,29.04.2025 09:43,Done,Major,,29.12.2025 15:57,BPAY PI 2025:2.2-BPAY - SmartP,,,,,,,,,,,3.0,Production bug,Done
SMARTPAY-563,2766360,,23.04.2025 14:31,24.04.2025 09:20,Abandoned,Major,,24.04.2025 09:30,BPAY PI 2025:2.1-BPAY - SmartP,BPAY PI 2025:2.2-BPAY - SmartP,,,,,,,,,,,Bug,Won't Do
SMARTPAY-559,2762466,,17.04.2025 14:14,24.04.2025 08:43,Abandoned,Major,,24.04.2025 09:30,BPAY PI 2025:2.1-BPAY - SmartP,BPAY PI 2025:2.2-BPAY - SmartP,,,,,,,,,,,Bug,Won't Do
SMARTPAY-522,2718000,,21.03.2025 12:45,28.04.2025 13:43,Done,Major,,28.04.2025 13:44,BPAY PI 2025:1.4-BPAY - SmartP,BPAY PI 2025:1.IP-BPAY - Smart,BPAY PI 2025:2.1-BPAY - SmartP,BPAY PI 2025:2.2-BPAY - SmartP,,,,,,,,2.0,Story,Done
SMARTPAY-557,2758662,,15.04.2025 09:21,28.04.2025 13:36,Done,Major,,04.05.2025 18:26,BPAY PI 2025:2.1-BPAY - SmartP,BPAY PI 2025:2.2-BPAY - SmartP,,,,,,,,,,8.0,Story,Done
SMARTPAY-520,2710794,,17.03.2025 10:28,30.04.2025 09:35,Done,Major,,02.02.2026 08:27,BPAY PI 2025:1.4-BPAY - SmartP,BPAY PI 2025:1.IP-BPAY - Smart,BPAY PI 2025:2.1-BPAY - SmartP,BPAY PI 2025:2.2-BPAY - SmartP,,,,,,,,5.0,Production bug,Done
SMARTPAY-578,2784413,,12.05.2025 09:47,15.05.2025 14:10,Done,Major,,09.02.2026 15:50,BPAY PI 2025:2.3-BPAY - SmartP,,,,,,,,,,,3.0,Story,Done
SMARTPAY-582,2786957,,13.05.2025 15:40,14.05.2025 16:09,Done,Major,,19.05.2025 14:38,BPAY PI 2025:2.3-BPAY - SmartP,,,,,,,,,,,1.0,Story,Done
SMARTPAY-576,2783179,,09.05.2025 15:00,13.05.2025 15:57,Done,Major,,19.05.2025 14:38,BPAY PI 2025:2.3-BPAY - SmartP,,,,,,,,,,,2.0,Production bug,Done
