Type,Key,Summary,Resolution Date,Open,Ready for Refinement,On Hold,Reopened,Investigation,Backlog,On-hold,Funnel,In Development,Ready for test,In Testing,Refined,Selected for Development,In Progress,Waiting for acceptance,Under Investigation,Done,Abandoned
,,Average time taken (from table),,1011.22h,403.52h,998.55h,83.74h,411.20h,498.36h,188.73h,0.10h,204.99h,196.96h,88.20h,451.88h,815.20h,1780.28h,77.54h,220.97h,9825.00h,5394.94h
,SMARTPAY-993,cleanup old kafka solution from batch handler,,0.98h,,,,,,,,26.63h,22.13h,,,,,,,,
,SMARTPAY-992,BH: update fraud screening initiation (by signing batch sid) recovery process,,96.72h,,,,,,,,22.10h,,,,,,,,,
,SMARTPAY-991,BH: update status report initiation (by batch sid) recovery process,,118.88h,,,,,,,,,,,,,,,,,
,SMARTPAY-990,Spring Boot 4 migration,,139.87h,,,,,,,,,,,,,,,,,
,SMARTPAY-989,BH: update which Kafka topic is consumed from FLM and store additional data about payment,,0.00h,141.00h,,,,,,,,,,,,,,,,
,SMARTPAY-988,DB: add additional fields to payment_info table,,0.20h,141.15h,,,,,,,,,,,,,,,,
,SMARTPAY-987,Clean-up iBank not to check sysglobal FILE_FORMAT_REMOVAL,,146.42h,,,,,,,,,,,,,,,,,
,SMARTPAY-986,Change the position of account number,,162.20h,,,,,,,,,,,,,,,,,
,SMARTPAY-985,File type and info text update in Import of payments page,,162.77h,,,,,,,,,,,,,,,,,
,SMARTPAY-984,[DB]: create sysglobal for removal of certain file formats,,141.25h,22.77h,,,,,,,,,,,,,,,,
,SMARTPAY-983,[batch-handler]configure kafka sesources for PROD,,0.00h,,,,,,,,170.13h,,,,,,,,,
,SMARTPAY-976,Clean-up after tracker functionality change,,95.08h,,,,,,,,31.13h,187.25h,,,,,,,,
,SMARTPAY-971,GitHub Migration- Kafla Configuration Repository separation,,216.28h,2.82h,,,,,,,266.95h,42.40h,,,,,,,,
,SMARTPAY-970,adjust BH application for sequence usage,4/21/26,121.88h,,,,,,,,69.48h,125.72h,145.50h,,,,,,187.13h,
,SMARTPAY-969,Testing of merged BH application,,483.12h,,,,,,,,0.00h,190.60h,,,,,,,,
,SMARTPAY-968,"new repository to be created and move kafka instalation scripts to that repository, because of Kafka migration (all environemnt)",,674.02h,,,,,,,,,,,,,,,,,
,SMARTPAY-967,"clean-up Kafka from old application (test, dev)",,674.32h,,,,,,,,,,,,,,,,,
,SMARTPAY-966,Order name speace for Azure,,674.43h,,,,,,,,,,,,,,,,,
,SMARTPAY-965,Change for main core application of BH in repository namespace,,362.30h,0.00h,,,,,,,,,,312.17h,,,,,,
,SMARTPAY-964,BH Tests automation placeholder,,684.83h,,,,,,,,,,,,,,,,,
,SMARTPAY-963,BH Tests automation placeholder,,685.47h,,,,,,,,,,,,,,,,,
,SMARTPAY-962,Review (audit) SEPA messaging automated tests - specify what needs to be automated to cover the gap,,685.68h,,,,,,,,,,,,,,,,,
,SMARTPAY-957,BH Tests automation placeholder,,693.75h,,,,,,,,,,,,,,,,,
,SMARTPAY-956,"Recovery process improvement: so that it'r reported failed step, restart possible from the failed step",,693.97h,,,,,,,,,,,,,,,,,
,SMARTPAY-954,Renaming a service - during moving to Azure as we need to change certificates,,382.38h,0.00h,,,,,,,140.97h,,,171.20h,,,,,,
,SMARTPAY-951,Maintenance,,713.68h,,,,,,,,,,,,,,,,,
,SMARTPAY-950,Maintenance,,713.68h,,,,,,,,,,,,,,,,,
,SMARTPAY-949,Maintenance,,713.68h,,,,,,,,,,,,,,,,,
,SMARTPAY-948,Maintenance,,575.15h,,,,,,,,0.00h,,,138.52h,,,,,,
