Type,Key,Summary,Resolution Date,Ready for patch [deleted],Open,Ready for Development,Backlog,On Hold,Waiting test deploy,To Do,Ready for Refinement,In Progress,In Code Review,Acceptance Testing,Ready for Deploy,Testing,Ready for Testing,Code review,Discovery,Delivery,Canceled,Done,Cancelled
,GUI-4218,HTML passed through label prop of ui-field (via label-id XSL attribute) broken in iBank,,,0.60h,,,,,,,3.98h,11.80h,,,,,,,,0.00h,,
,GUI-4217,Calculator card - Updates to ui-calculator with the full width layout,,,18.87h,,,,,,,,,,,,,,,,,,
,GUI-4216,Log out modal offer - Design updates,,,22.18h,,,,,,,,,,,,,,,,,,
,GUI-4215,UI Datepicker doesn't keep focus when it has the Clear button,,,22.25h,,,,,,,,,,,,,,,,,,
,GUI-4214,Update Jira template,,,7.95h,,,,,,,0.00h,0.85h,0.00h,16.93h,,,,,,0.00h,0.02h,
,GUI-4213,Remove Russian language from ui-cookie-consent for Latvia and Lithuania,,,89.98h,,,,,,,,,,,,,,,,,,
,GUI-4212,Patch level doesn't work on release,,,0.02h,,,,,,,0.02h,0.27h,91.93h,,,,,,,,,
,GUI-4210,Injection of binary image data in CSS causes FDP the bundle limit exceed 1.5 MB,,,119.18h,,,,,,,,,,,,,,,,,,
,GUI-4207,Review @typescript-eslint/prefer-nullish-coalescing': 'warn' aslant rule,,,121.18h,,,,,,,,,,,,,,,,,,
,GUI-4206,Update Jira Story template,,,17.92h,,,,,,,,,,,,,,,,119.73h,,
,GUI-4205,Modal opening - generalized solution for easier opening in any component,,,138.87h,,,,,,,,,,,,,,,,,,
,GUI-4204,fff-ish ui-tabs should have a white background,,,143.58h,,,,,,,,,,,,,,,,,,
,GUI-4202,[New iBank] Accounts widget vol. 2,,,0.00h,,,,,,,157.37h,,,,,,,,,,,
,GUI-4201,Grouped checkboxes are different colour when invalid,,,157.58h,,,,,,,,,,,,,,,,,,
,GUI-4199,"ui-slider: formatter=""years"" should interpret values as years, not months",,,162.52h,,,,,,,,,,,,,,,,,,
,GUI-4197,Container Namespaces FDP docs migration to another cluster,,,163.95h,,,,,,,,,,,,,,,,,,
,GUI-4196,Empty state - New component,,,167.30h,,,,,,,,,,,,,,,,,,
,GUI-4195,Sortable plugin of ui-table doesn't reflect sorting changes applied outside of ui-curtain,,,9.50h,,,,,,,0.00h,,,,,,,,,177.18h,,
,GUI-4190,Try to reduce visual tests threshold,,,0.02h,,,,,,,,,,,,,,,,259.48h,,
,GUI-4189,Update UI Docs to exclude links from labels in ui-field,,,260.67h,,,,,,,,,,,,,,,,,,
,GUI-4185,Ordered list breaks semantics,,,263.07h,,,,,,,,,,,,,,,,,,
,GUI-4183,aria-labelledby gets emptied in button of ui-dropdown after rebuild,,,264.77h,,,,,,,,,,,,,,,,,,
,GUI-4181,ui-hint is connected to select instead of button when used with ui-dropdown constructed through createElement,,,286.93h,,,,,,,,,,,,,,,,,,
,GUI-4174,Dismissing UIModal with Enter fires Form Validation,,,356.45h,,,,,,,,,,,,,,,,,,
,GUI-4168,ui-dropdown issues when used with Angular Reactive Forms,,,452.75h,,,,,,,,,,,,,,,,,,
,GUI-4167,Can't activate ui-asset from keyboard,,,455.20h,,,,,,,,,,,,,,,,,,
,GUI-4164,"Fix ""Invalid Entry"" announcement on checkboxes, radios, comboboxes.",,,475.33h,,,,,,,,,,,,,,,,,,
,GUI-4163,Investigate the most optimal way to create mappers,,,19.88h,,,,,,,291.67h,0.00h,165.32h,,,,,,,,,
,GUI-4162,ui-dropdown not read out as required,,,476.90h,,,,,,,,,,,,,,,,,,
,GUI-4157,UI-dropdown not being focused on invalidation,,,501.52h,,,,,,,95.00h,,,,,,,,,,,
,GUI-4155,UI-dropdown hide-selected attribute de-populates the dropdown,,,598.73h,,,,,,,,,,,,,,,,,,
,GUI-4153,Grouped checkboxes validation issue,,,617.37h,,,,,,,,,,,,,,,,,,
,GUI-4151,Setup Azure storage for Greenfield clusters,,,330.62h,,,,,,,290.55h,,,,,,,,,0.00h,,
,GUI-4150,Checkbox creates error message for a split second,,,622.92h,,,,,,,,,,,,,,,,,,
,GUI-4148,Hidden tooltips are keyboard-selectable in tables.,,,643.13h,,,,,,,,,,,,,,,,,,
,GUI-4147,Error icon disappears after second falsy form validation,,,643.30h,,,,,,,,,,,,,,,,,,
,GUI-4144,Columns - Updates to ui-column component,,,671.70h,,,,,,,,,,,,,,,,,,
,GUI-4143,Investigate removing or updating browserslist from package.json,,,694.28h,,,,,,,,,,,,,,,,,,
,GUI-4142,UI-buttonbar wrong placement and grid-row usage,,,694.32h,,,,,,,,,,,,,,,,,,
,GUI-4140,ui-checkboxes data-checkboxes-rule preventing form from being submitted,,,761.47h,,,,,,,,,,,,,,,,,,
,GUI-4138,Update npms to fix security issues,,,761.47h,,,,,,,,,,,,,,,,,,
,GUI-4137,remove ui-videobackground component,,,763.00h,,,,,,,,,,,,,,,,,,
,GUI-4136,Remove non-sprite icons from the sprite,,,763.88h,,,,,,,,,,,,,,,,,,
,GUI-4134,ui-navtoggle has a color contrast issue when activated (PW a11y testing),,,777.87h,,,,,,,,,,,,,,,,,,
,GUI-4133,ui-slider input not focusable by clicking label,,,785.42h,,,,,,,,,,,,,,,,,,
,GUI-4132,ui-feedback h2 support,,,788.23h,,,,,,,,,,,,,,,,,,
,GUI-4131,ui-navitem a11y issues (PW a11y testing),,,788.38h,,,,,,,,,,,,,,,,,,
,GUI-4129,Incorrect font weight for some fonts causes false axe-core warnings,,,802.13h,,,,,,,,,,,,,,,,,,
,GUI-4128,ui-navlist-menu has color contrast issues (PW a11y testing),,,802.78h,,,,,,,,,,,,,,,,,,
,GUI-4127,Accessibility issues with ui-nav and and ui-navlist (PW a11y testing),,,805.87h,,,,,,,,,,,,,,,,,,
,GUI-4124,ui-wizard focuses on steps when clicking next,,,619.93h,,,,,,,,,,,,,,,,215.40h,,
,GUI-4122,UI Daterange additional features,,,927.42h,,,,,,,,,,,,,,,,,,
,GUI-4121,Improve ui-buttonbar alignment logic when adding buttons programmatically,,,930.42h,,,,,,,,,,,,,,,,,,
,GUI-4120,UI Duplicate does not show the remove label,,,952.57h,,,,,,,,,,,,,,,,,,
