Issue key,Issue id,Parent id,Created,Resolved,Status,Priority,Due Date,Updated,Sprint,Sprint,Sprint,Sprint,Custom field (Story Points),Issue Type,Resolution
VOID-20,2791710,,16.05.2025 16:02,,Refined,Major,,23.04.2026 12:54,BPAY PI 2026:2.3-BPAY - Void,,,,2.0,Story,
VOID-10,2809919,,01.06.2025 17:30,,Refined,Major,,23.04.2026 12:54,BPAY PI 2026:2.1-BPAY - Void,BPAY PI 2026:2.3-BPAY - Void,,,6.0,Story,
VOID-24,2892880,,21.08.2025 14:51,,Refined,Major,,23.04.2026 12:54,BPAY PI 2026:2.3-BPAY - Void,,,,4.0,Story,
VOID-22,2979100,,21.10.2025 16:05,,Refined,Major,,23.04.2026 12:54,BPAY PI 2026:2.3-BPAY - Void,,,,2.0,Story,
VOID-17,2774432,,30.04.2025 14:59,,Refined,Major,,23.04.2026 12:54,BPAY PI 2026:2.1-BPAY - Void,BPAY PI 2026:2.3-BPAY - Void,,,6.0,Story,
VOID-56,3205303,,06.04.2026 16:14,,Refined,Major,,23.04.2026 12:54,BPAY PI 2026:2.1-BPAY - Void,BPAY PI 2026:2.3-BPAY - Void,,,2.0,Story,
VOID-21,2892879,,21.08.2025 14:49,,On Hold,Major,,23.04.2026 12:20,BPAY PI 2026:2.3-BPAY - Void,,,,4.0,Story,
VOID-9,2809916,,01.06.2025 17:17,,On Hold,Major,,23.04.2026 12:19,BPAY PI 2026:2.1-BPAY - Void,BPAY PI 2026:2.3-BPAY - Void,,,4.0,Story,
VOID-23,2977212,,20.10.2025 15:51,,On Hold,Major,,23.04.2026 12:23,BPAY PI 2026:2.3-BPAY - Void,,,,4.0,Story,
VOID-55,3083747,,16.01.2026 14:53,,Ready for Refinement,Major,,27.04.2026 13:58,BPAY PI 2026:2.3-BPAY - Void,,,,6.0,Story,
VOID-3,3194395,,31.03.2026 09:08,29.04.2026 07:50,Done,Major,,29.04.2026 07:50,BPAY PI 2026:2.1-BPAY - Void,,,,4.0,Story,Done
VOID-4,3194396,,31.03.2026 09:08,29.04.2026 07:50,Done,Major,,29.04.2026 07:50,BPAY PI 2026:2.1-BPAY - Void,,,,4.0,Story,Done
VOID-5,3194397,,31.03.2026 09:09,29.04.2026 07:50,Done,Major,,29.04.2026 07:50,BPAY PI 2026:2.1-BPAY - Void,,,,4.0,Story,Done
VOID-6,2877543,,05.08.2025 10:07,29.04.2026 07:49,Done,Major,,29.04.2026 07:49,BPAY PI 2026:2.1-BPAY - Void,BPAY PI 2026:2.2-BPAY - Void,,,3.0,Story,Done
